tic,predicted_return,trade_date
AMAT,0.0491472462704764,2020-02-12
NVDA,0.0788035573590256,2020-02-13
NVDA,0.0788035573590256,2020-02-14
NVDA,0.0788035573590256,2020-02-17
NVDA,0.0788035573590256,2020-02-18
AMAT,0.0491472462704764,2020-02-19
NVDA,0.0788035573590256,2020-02-19
AMAT,0.0491472462704764,2020-02-20
NVDA,0.0788035573590256,2020-02-20
AMAT,0.0491472462704764,2020-02-21
NVDA,0.0788035573590256,2020-02-21
AMAT,0.0491472462704764,2020-02-24
NVDA,0.0788035573590256,2020-02-24
PANW,0.0542822254613326,2020-02-24
AMAT,0.0491472462704764,2020-02-25
NVDA,0.0788035573590256,2020-02-25
PANW,0.0542822254613326,2020-02-25
AMAT,0.0491472462704764,2020-02-26
NVDA,0.0788035573590256,2020-02-26
PANW,0.0542822254613326,2020-02-26
AMAT,0.0491472462704764,2020-02-27
NVDA,0.0788035573590256,2020-02-27
PANW,0.0542822254613326,2020-02-27
AMAT,0.0491472462704764,2020-02-28
NVDA,0.0788035573590256,2020-02-28
PANW,0.0542822254613326,2020-02-28
AMAT,0.0491472462704764,2020-03-02
NVDA,0.0788035573590256,2020-03-02
PANW,0.0542822254613326,2020-03-02
AMAT,0.0491472462704764,2020-03-03
NVDA,0.0788035573590256,2020-03-03
PANW,0.0542822254613326,2020-03-03
ADSK,0.0484835987916261,2020-03-04
AMAT,0.0491472462704764,2020-03-04
NVDA,0.0788035573590256,2020-03-04
PANW,0.0542822254613326,2020-03-04
ADSK,0.0484835987916261,2020-03-05
AMAT,0.0491472462704764,2020-03-05
NVDA,0.0788035573590256,2020-03-05
PANW,0.0542822254613326,2020-03-05
ADSK,0.0484835987916261,2020-03-06
AMAT,0.0491472462704764,2020-03-06
NVDA,0.0788035573590256,2020-03-06
PANW,0.0542822254613326,2020-03-06
ADSK,0.0484835987916261,2020-03-09
AMAT,0.0491472462704764,2020-03-09
NVDA,0.0788035573590256,2020-03-09
PANW,0.0542822254613326,2020-03-09
ADSK,0.0484835987916261,2020-03-10
AMAT,0.0491472462704764,2020-03-10
NVDA,0.0788035573590256,2020-03-10
PANW,0.0542822254613326,2020-03-10
ADSK,0.0484835987916261,2020-03-11
AMAT,0.0491472462704764,2020-03-11
NVDA,0.0788035573590256,2020-03-11
PANW,0.0542822254613326,2020-03-11
ADSK,0.0484835987916261,2020-03-12
AMAT,0.0491472462704764,2020-03-12
NVDA,0.0788035573590256,2020-03-12
PANW,0.0542822254613326,2020-03-12
ADSK,0.0484835987916261,2020-03-13
AMAT,0.0491472462704764,2020-03-13
NVDA,0.0788035573590256,2020-03-13
PANW,0.0542822254613326,2020-03-13
ADSK,0.0484835987916261,2020-03-16
AMAT,0.0491472462704764,2020-03-16
NVDA,0.0788035573590256,2020-03-16
PANW,0.0542822254613326,2020-03-16
ADSK,0.0484835987916261,2020-03-17
AMAT,0.0491472462704764,2020-03-17
NVDA,0.0788035573590256,2020-03-17
PANW,0.0542822254613326,2020-03-17
ADSK,0.0484835987916261,2020-03-18
AMAT,0.0491472462704764,2020-03-18
NVDA,0.0788035573590256,2020-03-18
PANW,0.0542822254613326,2020-03-18
ADSK,0.0484835987916261,2020-03-19
AMAT,0.0491472462704764,2020-03-19
CRWD,0.0669807843611018,2020-03-19
NVDA,0.0788035573590256,2020-03-19
PANW,0.0542822254613326,2020-03-19
ADSK,0.0484835987916261,2020-03-20
AMAT,0.0491472462704764,2020-03-20
CRWD,0.0669807843611018,2020-03-20
NVDA,0.0788035573590256,2020-03-20
PANW,0.0542822254613326,2020-03-20
ADSK,0.0484835987916261,2020-03-23
AMAT,0.0491472462704764,2020-03-23
CRWD,0.0669807843611018,2020-03-23
NVDA,0.0788035573590256,2020-03-23
PANW,0.0542822254613326,2020-03-23
ADSK,0.0484835987916261,2020-03-24
AMAT,0.0491472462704764,2020-03-24
CRWD,0.0669807843611018,2020-03-24
NVDA,0.0788035573590256,2020-03-24
PANW,0.0542822254613326,2020-03-24
ADSK,0.0484835987916261,2020-03-25
AMAT,0.0491472462704764,2020-03-25
CRWD,0.0669807843611018,2020-03-25
NVDA,0.0788035573590256,2020-03-25
PANW,0.0542822254613326,2020-03-25
ADBE,0.0473979793519609,2020-03-26
ADSK,0.0484835987916261,2020-03-26
AMAT,0.0491472462704764,2020-03-26
CRWD,0.0669807843611018,2020-03-26
NVDA,0.0788035573590256,2020-03-26
PANW,0.0542822254613326,2020-03-26
ADBE,0.0473979793519609,2020-03-27
ADSK,0.0484835987916261,2020-03-27
AMAT,0.0491472462704764,2020-03-27
CRWD,0.0669807843611018,2020-03-27
NVDA,0.0788035573590256,2020-03-27
PANW,0.0542822254613326,2020-03-27
ADBE,0.0473979793519609,2020-03-30
ADSK,0.0484835987916261,2020-03-30
AMAT,0.0491472462704764,2020-03-30
CRWD,0.0669807843611018,2020-03-30
NVDA,0.0788035573590256,2020-03-30
PANW,0.0542822254613326,2020-03-30
ADBE,0.0473979793519609,2020-03-31
ADSK,0.0484835987916261,2020-03-31
AMAT,0.0491472462704764,2020-03-31
CRWD,0.0669807843611018,2020-03-31
NVDA,0.0788035573590256,2020-03-31
PANW,0.0542822254613326,2020-03-31
ADBE,0.0473979793519609,2020-04-01
ADSK,0.0484835987916261,2020-04-01
AMAT,0.0491472462704764,2020-04-01
CRWD,0.0669807843611018,2020-04-01
NVDA,0.0788035573590256,2020-04-01
PANW,0.0542822254613326,2020-04-01
ADBE,0.0473979793519609,2020-04-02
ADSK,0.0484835987916261,2020-04-02
AMAT,0.0491472462704764,2020-04-02
CRWD,0.0669807843611018,2020-04-02
NVDA,0.0788035573590256,2020-04-02
PANW,0.0542822254613326,2020-04-02
ADBE,0.0473979793519609,2020-04-03
ADSK,0.0484835987916261,2020-04-03
AMAT,0.0491472462704764,2020-04-03
CRWD,0.0669807843611018,2020-04-03
NVDA,0.0788035573590256,2020-04-03
PANW,0.0542822254613326,2020-04-03
ADBE,0.0473979793519609,2020-04-06
ADSK,0.0484835987916261,2020-04-06
AMAT,0.0491472462704764,2020-04-06
CRWD,0.0669807843611018,2020-04-06
NVDA,0.0788035573590256,2020-04-06
PANW,0.0542822254613326,2020-04-06
ADBE,0.0473979793519609,2020-04-07
ADSK,0.0484835987916261,2020-04-07
AMAT,0.0491472462704764,2020-04-07
CRWD,0.0669807843611018,2020-04-07
NVDA,0.0788035573590256,2020-04-07
PANW,0.0542822254613326,2020-04-07
ADBE,0.0473979793519609,2020-04-08
ADSK,0.0484835987916261,2020-04-08
AMAT,0.0491472462704764,2020-04-08
CRWD,0.0669807843611018,2020-04-08
NVDA,0.0788035573590256,2020-04-08
PANW,0.0542822254613326,2020-04-08
ADBE,0.0473979793519609,2020-04-09
ADSK,0.0484835987916261,2020-04-09
AMAT,0.0491472462704764,2020-04-09
CRWD,0.0669807843611018,2020-04-09
NVDA,0.0788035573590256,2020-04-09
PANW,0.0542822254613326,2020-04-09
ADBE,0.0473979793519609,2020-04-10
ADSK,0.0484835987916261,2020-04-10
AMAT,0.0491472462704764,2020-04-10
CRWD,0.0669807843611018,2020-04-10
NVDA,0.0788035573590256,2020-04-10
PANW,0.0542822254613326,2020-04-10
ADBE,0.0473979793519609,2020-04-13
ADSK,0.0484835987916261,2020-04-13
AMAT,0.0491472462704764,2020-04-13
CRWD,0.0669807843611018,2020-04-13
NVDA,0.0788035573590256,2020-04-13
PANW,0.0542822254613326,2020-04-13
ADBE,0.0473979793519609,2020-04-14
ADSK,0.0484835987916261,2020-04-14
AMAT,0.0491472462704764,2020-04-14
CRWD,0.0669807843611018,2020-04-14
NVDA,0.0788035573590256,2020-04-14
PANW,0.0542822254613326,2020-04-14
ADBE,0.0473979793519609,2020-04-15
ADSK,0.0484835987916261,2020-04-15
AMAT,0.0491472462704764,2020-04-15
CRWD,0.0669807843611018,2020-04-15
NVDA,0.0788035573590256,2020-04-15
PANW,0.0542822254613326,2020-04-15
ADBE,0.0473979793519609,2020-04-16
ADSK,0.0484835987916261,2020-04-16
AMAT,0.0491472462704764,2020-04-16
CRWD,0.0669807843611018,2020-04-16
NVDA,0.0788035573590256,2020-04-16
PANW,0.0542822254613326,2020-04-16
ADBE,0.0473979793519609,2020-04-17
ADSK,0.0484835987916261,2020-04-17
AMAT,0.0491472462704764,2020-04-17
CRWD,0.0669807843611018,2020-04-17
NVDA,0.0788035573590256,2020-04-17
PANW,0.0542822254613326,2020-04-17
ADBE,0.0473979793519609,2020-04-20
ADSK,0.0484835987916261,2020-04-20
AMAT,0.0491472462704764,2020-04-20
CDNS,0.0547818059869897,2020-04-20
CRWD,0.0669807843611018,2020-04-20
NVDA,0.0788035573590256,2020-04-20
PANW,0.0542822254613326,2020-04-20
ADBE,0.0473979793519609,2020-04-21
ADSK,0.0484835987916261,2020-04-21
AMAT,0.0491472462704764,2020-04-21
CDNS,0.0547818059869897,2020-04-21
CRWD,0.0669807843611018,2020-04-21
