,BKR,FANG
2020-04-22,8.574570529162884e-06,
2020-05-04,,8.574570529162884e-06
2020-07-22,-0.0019700844131875783,
2020-08-03,,-0.0019700844131875783
2020-10-21,-0.0115137845546437,
2020-11-02,,-0.0115137845546437
2021-01-21,-0.0059808330593763715,
2021-02-22,,-0.0059808330593763715
2021-04-21,-0.07750617143853257,
2021-05-03,,-0.07750617143853257
2021-07-21,-0.04610084907471901,
2021-08-02,,-0.04610084907471901
2021-10-20,-0.05735642749898355,
2021-11-01,,-0.05735642749898355
2022-01-20,-0.02848516799794096,
2022-02-22,,-0.02848516799794096
2022-04-20,-0.015053007574016718,
2022-05-02,,-0.015053007574016718
2022-07-20,-0.0067592477600555865,
2022-08-01,,-0.0067592477600555865
2022-10-19,0.14415177802844428,
2022-11-07,,0.10878579669741378
2023-01-23,0.26571498138409483,
2023-02-21,,-0.0824716747877098
2023-04-19,0.1744408426110725,
2023-05-01,,-0.06143211980576506
2023-07-19,-0.011592889427303105,
2023-07-31,,-0.013699905914774806
2023-10-25,-0.018315169489690943,
2023-11-06,,-0.009613430442131504
2024-01-23,0.016634165769093233,
2024-02-20,,0.02434504927594824
2024-04-23,-0.10319756816413704,
2024-04-30,,-0.027285337079988235
2024-07-25,-0.05681390298025187,
2024-08-05,,-0.05349755331312852
2024-10-22,0.0049034257233445035,
2024-11-04,,0.006500269410074308
2025-01-30,0.01935445262280935,
2025-02-24,,0.016975755225595992
2025-04-22,0.03029818877704463,
2025-05-05,,0.04878551811532245
2025-07-22,-0.05749985959534679,
2025-08-04,,0.08346503574222237
2025-10-23,0.028234806242822194,
2025-11-03,,0.04875310172077985
2026-01-25,0.019590457811110053,
