,BKR,FANG
2018-04-20,-0.023165784944340347,
2018-05-08,,-0.019644286484430076
2018-07-20,-0.035393651861158816,
2018-08-08,,-0.07976108470601537
2018-10-30,-0.040425482311316124,
2018-11-06,,-0.0462723734763506
2019-01-31,0.03131132741842829,
2019-02-19,,0.03131132741842829
2019-04-30,0.023132420726535558,
2019-05-07,,0.023132420726535558
2019-07-31,0.038479414383850115,
2019-08-06,,0.038479414383850115
2019-10-30,0.03159070637476251,
2019-11-05,,0.03159070637476251
2020-01-22,-0.023942325260008352,
2020-02-18,,-0.02218060072103227
2020-04-22,-0.004433574757949663,
2020-05-04,,-0.001343673735556428
2020-07-22,-0.003326546769963298,
2020-08-03,,0.0005066464462139866
2020-10-21,-0.04605904189928014,
2020-11-02,,-0.007190869563327176
2021-01-21,-0.016248615189889435,
2021-02-22,,-0.0038565354056216638
2021-04-21,-0.3301691388010153,
2021-05-03,,-0.3421009898534435
2021-07-21,-0.0669975190487576,
2021-08-02,,-0.13922159810368162
2021-10-20,-0.0750750655247045,
2021-11-01,,-0.08079308836832387
2022-01-20,-0.026979926999518265,
2022-02-22,,-0.026979926999518265
2022-04-20,-0.08982483722723149,
2022-05-02,,-0.17858510572499264
2022-07-20,0.023298144034842386,
2022-08-01,,-0.07748081979616929
2022-10-19,0.03292674271354704,
2022-11-07,,-0.045362752634617004
2023-01-23,0.0002716521677505015,
2023-02-21,,-0.0059152855293137475
2023-04-19,0.05137184313233991,
2023-05-01,,-0.06265846179825761
2023-07-19,-0.01131830714275768,
2023-07-31,,-0.010779116326150445
2023-10-25,-0.028736037986309224,
2023-11-06,,-0.04756660717647484
2024-01-23,-0.03414915644903242,
2024-02-20,,-0.03011181412470464
2024-04-23,-0.023466729950046557,
2024-04-30,,-0.03386718519844919
2024-07-25,0.0008941830792903076,
2024-08-05,,-0.04272362477842298
2024-10-22,0.01712222757542858,
2024-11-04,,0.04024785703439476
2025-01-30,6.940882428709286e-05,
2025-02-24,,0.02363186033506565
2025-04-22,0.003466849555388263,
2025-05-05,,0.016154328486335037
2025-07-22,0.028475407384859087,
2025-08-04,,0.036992504877806746
2025-10-23,0.012844118830401551,
2025-11-03,,0.011021381041404899
2026-01-25,0.017700379339188922,
