,BKR,FANG
2020-04-22,0.0027786537539213896,
2020-05-04,,0.014140196144580841
2020-07-22,0.021067121997475624,
2020-08-03,,0.01576440967619419
2020-10-21,-0.08122038096189499,
2020-11-02,,0.0729367658495903
2021-01-21,0.05788690596818924,
2021-02-22,,0.04832172766327858
2021-04-21,-0.8021866083145142,
2021-05-03,,-0.9253894090652466
2021-07-21,-0.01570969633758068,
2021-08-02,,-0.11272814869880676
2021-10-20,-0.12325756996870041,
2021-11-01,,-0.06897468864917755
2022-01-20,-0.02839573286473751,
2022-02-22,,-0.08882167935371399
2022-04-20,-0.015254495665431023,
2022-05-02,,-0.07604479789733887
2022-07-20,-0.007590224500745535,
2022-08-01,,-0.06815560907125473
2022-10-19,-0.07369764894247055,
2022-11-07,,-0.07369764894247055
2023-01-23,-0.004182654898613691,
2023-02-21,,-0.019170064479112625
2023-04-19,0.01051081158220768,
2023-05-01,,0.023595158010721207
2023-07-19,-0.031429603695869446,
2023-07-31,,0.1099296435713768
2023-10-25,-0.0198410265147686,
2023-11-06,,-0.01818368397653103
2024-01-23,-0.03922196105122566,
2024-02-20,,0.018808627501130104
2024-04-23,-0.009667137637734413,
2024-04-30,,0.03170168027281761
2024-07-25,0.004063084721565247,
2024-08-05,,0.017323214560747147
2024-10-22,0.02127845585346222,
2024-11-04,,0.018937507644295692
2025-01-30,0.016273893415927887,
2025-02-24,,0.018074404448270798
2025-04-22,0.013521634973585606,
2025-05-05,,0.01800689287483692
2025-07-22,0.00811256468296051,
2025-08-04,,0.021666159853339195
2025-10-23,0.012036166153848171,
2025-11-03,,-0.05833059549331665
2026-01-25,0.013619211502373219,
