,ADP,AXON,CPRT,CSX,CTAS,FAST,HON,ODFL,PAYX,PCAR,TRI,VRSK
2018-04-20,,,,,,,0.0349465183417916,,,,,
2018-05-02,0.03279525777449836,,,,,,,,,,,
2018-04-17,,,,0.07841152231973801,,,,,,,,
2018-03-22,,,,,0.05314204584917481,,,,,,,
2018-04-24,,,,,,,,,,0.055062438797924086,,
2018-03-26,,,,,,,,,0.04015903969753822,,,
2018-04-11,,,,,,0.039465728557976275,,,,,,
2018-05-11,,,,,,,,,,,0.03484658165968865,
2018-04-26,,,,,,,,0.04206784924822283,,,,
2018-02-26,,,0.054139502443910234,,,,,,,,,
2018-05-08,,-0.007785870608411754,,,,,,,,,,
2018-05-01,,,,,,,,,,,,0.017302129975616663
2018-07-20,,,,,,,0.04484789370315189,,,,,
2018-08-01,0.02417230202835714,,,,,,,,,,,
2018-07-17,,,,0.08508744296291625,,,,,,,,
2018-07-19,,,,,0.05462329483266189,,,,,,,
2018-07-24,,,,,,,,,,0.044480539644179896,,
2018-06-27,,,,,,,,,0.019349360166622413,,,
2018-07-11,,,,,,0.033557503688525864,,,,,,
2018-08-08,,,,,,,,,,,0.02658629233866837,
2018-07-26,,,,,,,,0.03440518366553606,,,,
2018-05-23,,,0.05139296346443564,,,,,,,,,
2018-08-07,,0.01154231480839332,,,,,,,,,,
2018-07-31,,,,,,,,,,,,0.023087326767295222
2018-10-19,,,,,,,0.022449501939515143,,,,,
2018-10-31,0.02040086746359997,,,,,,,,,,,
2018-10-16,,,,0.06772829566870861,,,,,,,,
2018-09-25,,,,,0.0599264678163998,,,,,,,
2018-10-23,,,,,,,,,,0.04738410711094297,,
2018-10-02,,,,,,,,,0.015760730182206667,,,
2018-10-10,,,,,,0.03767428262711042,,,,,,
2018-11-06,,0.023181943058755795,,,,,,,,,0.04368577100503603,
2018-10-25,,,,,,,,0.050790518296569005,,,,
2018-09-19,,,0.05238364972738832,,,,,,,,,
2018-10-30,,,,,,,,,,,,0.023804903546546033
2019-02-01,,,,,,,0.03194229304790497,,,,,
2019-01-30,0.03194229304790497,,,,,,,,,,,
2019-01-16,,,,0.03194229304790497,,,,,,,,
2018-12-20,,,,,0.0341242179274559,,,,,,,
2019-01-29,,,,,,,,,,0.017803309485316277,,
2018-12-19,,,,,,,,,0.03218980133533478,,,
2019-01-17,,,,,,0.040681932121515274,,,,,,
2019-02-26,,0.020387396216392517,,,,,,,,,0.029160527512431145,
2019-02-07,,,,,,,,0.03197154775261879,,,,
2018-11-20,,,0.029364926740527153,,,,,,,,,
2019-02-19,,,,,,,,,,,,0.030546361580491066
2019-04-18,,,,,,,0.03550933301448822,,,,,
2019-05-01,0.02899911440908909,,,,,,,,,,,
2019-04-16,,,,0.03818904235959053,,,,,,,,
2019-03-21,,,,,0.035638101398944855,,,,,,,
2019-04-30,,,,,,,,,,0.03384009003639221,,0.031114008277654648
2019-03-27,,,,,,,,,0.03579698130488396,,,
2019-04-11,,,,,,0.021925371140241623,,,,,,
2019-05-08,,,,,,,,,,,0.022240091115236282,
2019-04-25,,,,,,,,0.037273894995450974,,,,
2019-02-20,,,0.04078693687915802,,,,,,,,,
2019-05-09,,0.037621770054101944,,,,,,,,,,
2019-07-18,,,,,,,0.05130964824534188,,,,,
2019-07-31,0.04120619528798222,,,,,,,,,,,
2019-07-16,,,,0.061885877651744275,0.05755704889708091,,,,,,,
2019-07-23,,,,,,,,,,0.04508824736455348,,
2019-06-26,,,,,,,,,0.04018203655412783,,,
2019-07-11,,,,,,0.05199347413858288,,,,,,
2019-08-01,,,,,,,,,,,0.045967585118683645,
2019-07-25,,,,,,,,0.052337377417193263,,,,
2019-05-22,,,0.05868874075393082,,,,,,,,,
2019-08-08,,0.05093677889737036,,,,,,,,,,
2019-07-30,,,,,,,,,,,,0.037922440198346244
2019-10-17,,,,,,,0.04325835406780243,,,,,
2019-10-30,0.05089971795678139,,,,,,,,,,,
2019-10-16,,,,0.03951430693268776,,,,,,,,
2019-09-24,,,,,0.04460146650671959,,,,,,,
2019-10-22,,,,,,,,,,0.04426313191652298,,
2019-10-02,,,,,,,,,0.039927054196596146,,,
2019-10-11,,,,,,0.05339689925312996,,,,,,
2019-10-31,,,,,,,,,,,0.0164907518774271,
2019-10-24,,,,,,,,0.04682241380214691,,,,
2019-09-04,,,0.05437171459197998,,,,,,,,,
2019-11-07,,0.10267457365989685,,,,,,,,,,
2019-10-29,,,,,,,,,,,,0.04690432548522949
2020-01-31,,,,,,,0.029018038525871644,,,,,
2020-01-29,0.019298107887898753,,,,,,,,,,,
2020-01-16,,,,0.0547880486945202,,,,,,,,
2019-12-17,,,,,0.0421932893926089,,,,,,,
2020-01-28,,,,,,,,,,0.025943560047523958,,
2019-12-18,,,,,,,,,0.022844251600621427,,,
2020-01-17,,,,,,0.05701792549406702,,,,,,
2020-02-25,,,,,,,,,,,0.03052201591375006,
2020-02-06,,,,,,,,0.03496276296861669,,,,
2019-11-20,,,0.04775035842634455,,,,,,,,,
2020-02-27,,0.024932167213228957,,,,,,,,,,
2020-02-18,,,,,,,,,,,,0.01946502978107539
2020-05-01,,,,,,,0.033966440707445145,,,,,
2020-04-29,0.03877675533294678,,,,,,,,,,,
2020-04-22,,,,0.04376014694571495,,,,,,,,
2020-03-19,,,,,0.030969319865107536,,,,,,,
2020-04-21,,,,,,,,,,0.044003646820783615,,
2020-03-25,,,,,,,,,0.03877675533294678,,,
2020-04-14,,,,,,0.028690490871667862,,,,,,
2020-05-05,,,,,,,,,,,0.031154582276940346,0.038462452590465546
2020-04-23,,,,,,,,0.03903558850288391,,,,
2020-02-19,,,0.00670678960159421,,,,,,,,,
2020-05-07,,0.05791105702519417,,,,,,,,,,
2020-07-24,,,,,,,0.037483520805835724,,,,,
2020-07-29,0.04144064709544182,,,,,,,,,,,
2020-07-22,,,,0.037483520805835724,,,,,,,,
2020-07-23,,,,,0.038593921810388565,,,,,,,
2020-07-21,,,,,,,,,,0.04141174629330635,,
2020-07-07,,,,,,,,,0.04144064709544182,,,
2020-07-14,,,,,,0.038249265402555466,,,,,,
2020-08-05,,,,,,,,,,,0.03747974708676338,
2020-07-30,,,,,,,,0.03897826373577118,,,,
2020-05-20,,,0.03786114975810051,,,,,,,,,
2020-08-06,,0.009585010819137096,,,,,,,,,,
2020-08-04,,,,,,,,,,,,0.009585010819137096
2020-10-30,,,,,,,0.03778954595327377,,,,,
2020-10-28,0.038054220378398895,,,,,,,,,,,
2020-10-21,,,,0.038054220378398895,,,,,,,,
2020-09-23,,,,,0.0340803787112236,,,,,,,
2020-10-20,,,,,,,,,,0.034468717873096466,,
2020-10-06,,,,,,,,,0.03778954595327377,,,
2020-10-13,,,,,,0.0340803787112236,,,,,,
2020-11-03,,,,,,,,,,,0.03778954595327377,
2020-10-27,,,,,,,,0.038054220378398895,,,,
2020-09-02,,,0.008373390883207321,,,,,,,,,
2020-11-05,,0.030755406245589256,,,,,,,,,,
2020-11-04,,,,,,,,,,,,0.008373390883207321
2021-01-29,,,,,,,0.03678643778097048,,,,,
2021-01-27,0.0424779016264157,,,,,,,,,,,
2021-01-21,,,,0.03707756847701822,,,,,,,,
2020-12-22,,,,,0.04778821999606696,,,,,,,
2021-01-26,,,,,,,,,,0.03112281823834067,,
2020-12-23,,,,,,,,,0.027348021527041955,,,
2021-01-20,,,,,,0.03931534225886806,,,,,,
2021-02-23,,,,,,,,,,,0.02676261673606616,0.04778821999606696
2021-02-04,,,,,,,,0.0424779016264157,,,,
2020-11-18,,,0.052219450987037855,,,,,,,,,
2021-02-25,,0.04720281520509115,,,,,,,,,,
2021-04-23,,,,,,,0.01351841352880001,,,,,
2021-04-28,0.01351841352880001,,,,,,,,,,,
2021-04-20,,,,0.025049462914466858,,,,,,,,
2021-03-17,,,,,0.03415809944272041,,,,,,,
2021-04-27,,,,,,,,,,0.029743632301688194,,
2021-04-06,,,,,,,,,0.034432556480169296,,,
2021-04-13,,,,,,0.03415809944272041,,,,,,
2021-05-04,,,,,,,,,,,0.034432556480169296,0.029143020510673523
2021-04-22,,,,,,,,0.03415809944272041,,,,
2021-02-18,,,0.00363472499884665,,,,,,,,,
2021-05-06,,0.029143020510673523,,,,,,,,,,
2021-07-23,,,,,,,0.03405013630354206,,,,,
2021-07-28,0.032786839330004376,,,,,,,0.040515988260228473,,,,
2021-07-21,,,,0.04859739881565479,,,,,,,,
2021-07-15,,,,,0.03597907420442257,,,,,,,
2021-07-27,,,,,,,,,,0.022780729972683388,,
2021-06-25,,,,,,,,,0.03365655532331684,,,
2021-07-13,,,,,,0.04795075660936797,,,,,,
2021-08-05,,0.03095428879448613,,,,,,,,,0.0371639949238532,
2021-05-19,,,0.04406581257274379,,,,,,,,,
2021-08-03,,,,,,,,,,,,0.02728632765243558
2021-10-22,,,,,,,0.020798098295927048,,,,,
2021-10-27,0.020798098295927048,,,,,,,0.05083204433321953,,,,
2021-10-20,,,,0.044795677065849304,,,,,,,,
2021-09-29,,,,,0.03953047841787338,,,,,,,
2021-10-26,,,,,,,,,,0.03550589457154274,,
2021-09-30,,,,,,,,,0.035879507660865784,,,
2021-10-12,,,,,,0.039565447717905045,,,,,,
2021-11-02,,,,,,,,,,,0.03953047841787338,0.041728608310222626
2021-09-08,,,0.010213270783424377,,,,,,,,,
2021-11-15,,0.041728608310222626,,,,,,,,,,
2022-02-03,,,,,,,0.041289852508592705,,,,,
2022-01-26,0.033597252969254095,,,,,,,,,,,
2022-01-20,,,,0.06842486679544782,,,,,,,,
2021-12-22,,,,,0.04198788823847707,,,,0.02792217868463522,,,
2022-01-25,,,,,,,,,,0.027415721466805786,,
2022-01-19,,,,,,0.04886216630244807,,,,,,
2022-02-08,,,,,,,,,,,0.04467538182725003,
2022-02-02,,,,,,,,0.05301554995440871,,,,
2021-11-17,,,0.0542494945128373,,,,,,,,,
2022-02-24,,0.02339854839581307,,,,,,,,,,
2022-02-22,,,,,,,,,,,,0.038678143497131924
2022-04-29,,,,,,,0.042882293462753296,,,,,
2022-04-27,0.03285790979862213,,,,,,,0.03538552671670914,,,,
2022-04-20,,,,0.043749742209911346,,,,,,,,
2022-03-23,,,,,0.049925897270441055,,,,,,,
2022-04-26,,,,,,,,,,0.03293963149189949,,
2022-03-30,,,,,,,,,0.04331374168395996,,,
2022-04-13,,,,,,0.043954282999038696,,,,,,
2022-05-03,,,,,,,,,,,0.04352763295173645,0.03285790979862213
2022-02-16,,,0.03868362680077553,,,,,,,,,
2022-05-10,,0.02341768704354763,,,,,,,,,,
2022-07-28,,,,,,,0.03193473070859909,,,,,
2022-07-27,0.03769899159669876,,,,,,,0.047645632177591324,,,,
2022-07-20,,,,0.043931156396865845,,,,,,,,
2022-07-14,,,,,0.05034245550632477,,,,,,,
2022-07-26,,,,,,,,,,0.04452259838581085,,
2022-06-29,,,,,,,,,0.04385027661919594,,,
2022-07-13,,,,,,0.04411544278264046,,,,,,
2022-08-04,,,,,,,,,,,0.044089388102293015,
2022-05-18,,,0.04385027661919594,,,,,,,,,
2022-08-09,,0.03919173404574394,,,,,,,,,,
2022-08-02,,,,,,,,,,,,0.04043541103601456
2022-10-27,,,,,,,0.05454344302415848,,,,,
2022-10-26,0.03907215595245361,,,,,,,0.05016587674617767,,,,
2022-10-20,,,,0.043617699295282364,,,,,,,,
2022-09-28,,,,,0.04417223110795021,,,,0.04409775137901306,,,
2022-10-25,,,,,,,,,,0.04449739307165146,,
2022-10-13,,,,,,0.04388972744345665,,,,,,
2022-11-01,,,,,,,,,,,0.04436977952718735,0.03960859030485153
2022-09-07,,,0.04409775137901306,,,,,,,,,
2022-11-08,,0.02019323594868183,,,,,,,,,,
2023-02-02,,,,,,,0.03514116404553459,,,,,
2023-01-25,0.03514116404553459,,,0.059447807075197805,,,,,,,,
2022-12-21,,,,,0.04397043172058936,,,,,,,
2023-01-24,,,,,,,,,,0.03553588237870892,,
2022-12-22,,,,,,,,,0.04029978316609521,,,
2023-01-19,,,,,,0.049943305375367585,,,,,,
2023-02-09,,,,,,,,,,,0.05271018166102198,
2023-02-01,,,,,,,,0.05909504346320911,,,,
2022-11-16,,,0.04892809931566126,,,,,,,,,
2023-02-28,,0.03514116404553459,,,,,,,,,,0.03514116404553459
2023-04-27,,,,,,,0.03271278330689875,,,,,
2023-04-26,0.022353205079405764,,,,,,,0.039624729793175245,,,,
2023-04-20,,,,0.05597025655098262,,,,,,,,
2023-03-29,,,,,0.04157025611126842,,,,0.036338226381484075,,,
2023-04-25,,,,,,,,,,0.027274552472467718,,
2023-04-13,,,,,,0.054228976254239204,,,,,,
2023-05-02,,,,,,,,,,,0.038131128957459445,
2023-02-20,,,0.05842531783416922,,,,,,,,,
2023-05-09,,0.028560294854062,,,,,,,,,,
2023-05-03,,,,,,,,,,,,0.019406752573422975
2023-07-27,,,,,,,0.021068006391783252,,,,,
2023-07-26,0.015360526534740453,,,,,,,0.027145702840991846,,,,
2023-07-20,,,,0.04784125570439657,,,,,,,,
2023-07-13,,,,,0.04069464335008835,0.05100494359356006,,,,,,
2023-07-25,,,,,,,,,,0.026000666654470015,,
2023-06-29,,,,,,,,,0.030611073380459927,,,
2023-08-02,,,,,,,,,,,0.039189367573156574,0.009510749000891357
2023-05-17,,,0.04452978897526041,,,,,,,,,
2023-08-08,,0.030267938048662235,,,,,,,,,,
2023-10-26,,,,,,,0.03564128652215004,,,,,
2023-10-25,0.03350058197975159,,,,,,,0.02934635616838932,,,,
2023-10-19,,,,0.031392283737659454,,,,,,,,
2023-09-26,,,,,0.03376471623778343,,,,,,,
2023-10-24,,,,,,,,,,0.03391055762767792,,
2023-09-27,,,,,,,,,0.039058081805706024,,,
2023-10-12,,,,,,0.043489523231983185,,,,,,
2023-11-01,,,,,,,,,,,0.03391055762767792,0.02501133643090725
2023-09-14,,,0.04554014280438423,,,,,,,,,
2023-11-07,,0.03224145621061325,,,,,,,,,,
2024-02-01,,,,,,,0.032490236320151834,,,,,
2024-01-31,0.03296458164857049,,,,,,,0.03136627573179549,,,,
2024-01-24,,,,0.0425211673349549,,,,,,,,
2023-12-21,,,,,0.04052428342621434,,,,0.0415155857139545,,,
2024-01-23,,,,,,,,,,0.035623322457543405,,
2024-01-18,,,,,,0.03736858208299091,,,,,,
2024-02-08,,,,,,,,,,,0.03236638053590561,
2023-11-16,,,0.028961213266245914,,,,,,,,,
2024-02-27,,0.028961213266245914,,,,,,,,,,
2024-02-21,,,,,,,,,,,,0.028961213266245914
2024-04-25,,,,,,,0.030878398343091824,,,,,
2024-05-01,0.017878200440906062,,,,,,,,,,,-0.0007882879669674151
2024-04-17,,,,0.04384841462480018,,,,,,,,
2024-03-27,,,,,0.032018474646403165,,,,,,,
2024-04-30,,,,,,,,,,0.036168476916799634,,
2024-04-02,,,,,,,,,0.024313915812150092,,,
2024-04-11,,,,,,0.03719004094288906,,,,,,
2024-05-02,,,,,,,,,,,0.03187743876539524,
2024-04-24,,,,,,,,0.03222123096322868,,,,
2024-02-22,,,0.03639366237959636,,,,,,,,,
2024-05-06,,0.0203474592875109,,,,,,,,,,
2024-07-25,,,,,,,0.039139606656524446,,,,,
2024-07-31,0.03688488538888361,,,,,,,,,,,0.030979745793062827
2024-08-05,,,,0.0432555624277561,,,,,,,,
2024-07-18,,,,,0.03756094292317592,,,,,,,
2024-07-23,,,,,,,,,,0.03149062789884015,,
2024-06-26,,,,,,,,,0.034375983224331004,,,
2024-07-12,,,,,,0.04811403015083715,,,,,,
2024-08-01,,,,,,,,,,,0.030979745793062827,
2024-07-24,,,,,,,,0.039139606656524446,,,,
2024-05-16,,,0.030979745793062827,,,,,,,,,
2024-08-06,,0.030979745793062827,,,,,,,,,,
2024-10-24,,,,,,,0.030387974462838377,,,,,
2024-10-30,0.023431977029551177,,,,,,,,,,,0.011795741341150903
2024-10-16,,,,0.04354638258765818,,,,,,,,
2024-09-25,,,,,0.031421990153662385,,,,,,,
2024-10-22,,,,,,,,,,0.03318658146024333,,
2024-10-01,,,,,,,,,0.024513506502145104,,,
2024-10-11,,,,,,0.04339841658292734,,,,,,
2024-11-05,,,,,,,,,,,0.03139236578801233,
2024-10-23,,,,,,,,0.04026778371473533,,,,
2024-09-04,,,0.04494633525860717,,,,,,,,,
2024-11-07,,0.03527003505337003,,,,,,,,,,
2025-02-06,,,,,,,0.037712762869831065,,,,0.032877183178426826,
2025-01-29,0.034777141805609084,,,,,,,,,,,
2025-01-23,,,,0.03398425924404432,,,,,,,,
2024-12-19,,,,,0.03872681878876841,,,,0.032877183178426826,,,
2025-01-28,,,,,,,,,,0.041969954956696955,,
2025-01-17,,,,,,0.03872681878876841,,,,,,
2025-02-05,,,,,,,,0.037712762869831065,,,,
2024-11-21,,,0.032877183178426826,,,,,,,,,
2025-02-25,,0.032877183178426826,,,,,,,,,,
2025-02-26,,,,,,,,,,,,0.032877183178426826
2025-04-29,,,,,,,0.03279178962111473,,,0.03748803213238716,,
2025-04-30,0.039979204535484314,,,,,,,,,,,
2025-04-16,,,,0.04335157200694084,,,,,,,,
2025-03-26,,,,,0.039711933583021164,,,,0.039979204535484314,,,
2025-04-11,,,,,,0.03717890381813049,,,,,,
2025-05-01,,,,,,,,,,,0.04327791556715965,
2025-04-23,,,,,,,,0.04335157200694084,,,,
2025-02-20,,,0.04335157200694084,,,,,,,,,
2025-05-07,,0.03746385872364044,,,,,,,,,,0.03801135718822479
2025-07-24,,,,,,,0.0395725816488266,,,,,
2025-07-30,0.03600350022315979,,,,,,,0.042004358023405075,,,,0.03600350022315979
2025-07-23,,,,0.04092051461338997,,,,,,,,
2025-07-17,,,,,0.03600350022315979,,,,,,,
2025-07-22,,,,,,,,,,0.031913213431835175,,
2025-06-25,,,,,,,,,0.03600350022315979,,,
2025-07-14,,,,,,0.021571431308984756,,,,,,
2025-08-06,,,,,,,,,,,0.03730205446481705,
2025-05-22,,,0.04092051461338997,,,,,,,,,
2025-08-04,,0.03424548730254173,,,,,,,,,,
2025-10-23,,,,,,,0.03429271898822018,,,,,
2025-10-29,0.03429271898822018,,,,,,,0.04057260350024027,,,,0.03429271898822018
2025-10-16,,,,0.04349162075827539,,,,,,,,
2025-09-24,,,,,0.03429271898822018,,,,,,,
2025-10-21,,,,,,,,,,0.03606801578826458,,
2025-09-30,,,,,,,,,0.0398065792301569,,,
2025-10-13,,,,,,0.03621650228962156,,,,,,
2025-11-04,,0.04901457404977277,,,,,,,,,0.04055504646949746,
2025-09-04,,,0.03986903553934811,,,,,,,,,
2026-01-29,,,,,,,0.037503913513609044,,,,,
2026-01-28,0.034857287324370725,,,,,,,,,,,
2026-01-22,,,,0.03206220323554119,,,,,,,,
2025-12-18,,,,,0.042396044650288706,,,,,,,
2026-01-27,,,,,,,,,,0.03669537537261244,,
2025-12-19,,,,,,,,,0.03746298724780339,,,
2026-01-20,,,,,,0.036181329948831546,,,,,,
2026-02-05,,,,,,,,,,,0.035697987937494555,
2026-02-04,,,,,,,,0.03669537537261244,,,,
2025-11-20,,,0.04622957681911031,,,,,,,,,
