,ADP,AXON,CPRT,CSX,CTAS,FAST,HON,ODFL,PAYX,PCAR,TRI,VRSK
2020-05-01,,,,,,,0.03862968102023557,,,,,
2020-04-29,0.03784357798930895,,,,,,,,,,,
2020-04-22,,,,0.06403435699568504,,,,,,,,
2020-03-19,,,,,0.025738451717214682,,,,,,,
2020-04-21,,,,,,,,,,0.023482513776890274,,
2020-03-25,,,,,,,,,0.036135373704285906,,,
2020-04-14,,,,,,0.04687805443131983,,,,,,
2020-05-05,,,,,,,,,,,0.017478115297368937,0.03411361239270445
2020-04-23,,,,,,,,0.017478115297368937,,,,
2020-02-19,,,0.0460313899099346,,,,,,,,,
2020-05-07,,0.00417519553132157,,,,,,,,,,
2020-07-24,,,,,,,0.04486819428699961,,,,,
2020-07-29,0.03309335540355987,,,,,,,,,,,
2020-07-22,,,,0.04972949930185395,,,,,,,,
2020-07-23,,,,,0.029410330995010364,,,,,,,
2020-07-21,,,,,,,,,,0.03534630466319456,,
2020-07-07,,,,,,,,,0.02990890918086095,,,
2020-07-14,,,,,,0.04574640665517067,,,,,,
2020-08-05,,,,,,,,,,,0.022003946906349117,
2020-07-30,,,,,,,,0.02334653474083084,,,,
2020-05-20,,,0.050949663922689944,,,,,,,,,
2020-08-06,,0.03768904410940131,,,,,,,,,,
2020-08-04,,,,,,,,,,,,0.03432649274336108
2020-10-30,,,,,,,0.0434187368204164,,,,,
2020-10-28,0.03843703639080845,,,,,,,,,,,
2020-10-21,,,,0.039908268395938376,,,,,,,,
2020-09-23,,,,,0.028427145968969798,,,,,,,
2020-10-20,,,,,,,,,,0.03135570666765482,,
2020-10-06,,,,,,,,,0.034129031982632944,,,
2020-10-13,,,,,,0.0321148141867117,,,,,,
2020-11-03,,,,,,,,,,,0.03125523211307027,
2020-10-27,,,,,,,,0.028427145968969798,,,,
2020-09-02,,,0.05189011780418252,,,,,,,,,
2020-11-05,,0.02625766950026622,,,,,,,,,,
2020-11-04,,,,,,,,,,,,0.03722928328850052
2021-01-29,,,,,,,0.03678643778097048,,,,,
2021-01-27,0.0424779016264157,,,,,,,,,,,
2021-01-21,,,,0.03707756847701822,,,,,,,,
2020-12-22,,,,,0.04778821999606696,,,,,,,
2021-01-26,,,,,,,,,,0.03112281823834067,,
2020-12-23,,,,,,,,,0.027348021527041955,,,
2021-01-20,,,,,,0.03931534225886806,,,,,,
2021-02-23,,,,,,,,,,,0.02676261673606616,0.04778821999606696
2021-02-04,,,,,,,,0.0424779016264157,,,,
2020-11-18,,,0.052219450987037855,,,,,,,,,
2021-02-25,,0.04720281520509115,,,,,,,,,,
2021-04-23,,,,,,,0.023297136661666933,,,,,
2021-04-28,0.0247906746326602,,,,,,,,,,,
2021-04-20,,,,0.026582713497684703,,,,,,,,
2021-03-17,,,,,0.026763826767078475,,,,,,,
2021-04-27,,,,,,,,,,0.024384717950377516,,
2021-04-06,,,,,,,,,0.02379508677231534,,,
2021-04-13,,,,,,0.0260661738038281,,,,,,
2021-05-04,,,,,,,,,,,0.028949687318213235,0.0301285282465908
2021-04-22,,,,,,,,0.02444031802966661,,,,
2021-02-18,,,0.04948290348976894,,,,,,,,,
2021-05-06,,0.02498024855457918,,,,,,,,,,
2021-07-23,,,,,,,0.030140804641779338,,,,,
2021-07-28,0.02570957101271269,,,,,,,0.025850212212201375,,,,
2021-07-21,,,,0.05021712838889227,,,,,,,,
2021-07-15,,,,,0.02595037801744726,,,,,,,
2021-07-27,,,,,,,,,,0.02680046703492679,,
2021-06-25,,,,,,,,,0.031255654482658414,,,
2021-07-13,,,,,,0.03760861011699491,,,,,,
2021-08-05,,0.028784365206941557,,,,,,,,,0.024992382676673624,
2021-05-19,,,0.02817791214344843,,,,,,,,,
2021-08-03,,,,,,,,,,,,0.0329334291371247
2021-10-22,,,,,,,0.029099919451213156,,,,,
2021-10-27,0.032239432986217155,,,,,,,0.027643785696247813,,,,
2021-10-20,,,,0.04876284595309428,,,,,,,,
2021-09-29,,,,,0.034883549333127505,,,,,,,
2021-10-26,,,,,,,,,,0.034905120098553656,,
2021-09-30,,,,,,,,,0.025215846480645288,,,
2021-10-12,,,,,,0.03388454838310086,,,,,,
2021-11-02,,,,,,,,,,,0.026252873473095684,0.028109999701582393
2021-09-08,,,0.029390756790838298,,,,,,,,,
2021-11-15,,0.027142478857401453,,,,,,,,,,
2022-02-03,,,,,,,0.033489299207532006,,,,,
2022-01-26,0.035387017525416446,,,,,,,,,,,
2022-01-20,,,,0.055708822389915987,,,,,,,,
2021-12-22,,,,,0.03198227827242491,,,,0.03796609861061902,,,
2022-01-25,,,,,,,,,,0.02918312918638027,,
2022-01-19,,,,,,0.04954906656458676,,,,,,
2022-02-08,,,,,,,,,,,0.0391107973090625,
2022-02-02,,,,,,,,0.03568421374513872,,,,
2021-11-17,,,0.04117690943222576,,,,,,,,,
2022-02-24,,0.03390739023927672,,,,,,,,,,
2022-02-22,,,,,,,,,,,,0.038400621227407526
2022-04-29,,,,,,,0.03707857307406224,,,,,
2022-04-27,0.03707857307406224,,,,,,,0.03707857307406224,,,,
2022-04-20,,,,0.04591962678603273,,,,,,,,
2022-03-23,,,,,0.04986867290419889,,,,,,,
2022-04-26,,,,,,,,,,0.03937471952563852,,
2022-03-30,,,,,,,,,0.037910326232939225,,,
2022-04-13,,,,,,0.042689063268095545,,,,,,
2022-05-03,,,,,,,,,,,0.04562228863633881,0.03707857307406224
2022-02-16,,,0.03789586429187041,,,,,,,,,
2022-05-10,,0.03520679559404863,,,,,,,,,,
2022-07-28,,,,,,,0.03827189644196918,,,,,
2022-07-27,0.03827189644196918,,,,,,,0.04691794294242057,,,,
2022-07-20,,,,0.04388485316596681,,,,,,,,
2022-07-14,,,,,0.046635097449558204,,,,,,,
2022-07-26,,,,,,,,,,0.0400328191215171,,
2022-06-29,,,,,,,,,0.04176899454299448,,,
2022-07-13,,,,,,0.04552783792668108,,,,,,
2022-08-04,,,,,,,,,,,0.046253285874319025,
2022-05-18,,,0.040961662358889164,,,,,,,,,
2022-08-09,,0.03591711472362122,,,,,,,,,,
2022-08-02,,,,,,,,,,,,0.03827189644196918
2022-10-27,,,,,,,0.038523804249293685,,,,,
2022-10-26,0.038523804249293685,,,,,,,0.04952160189424045,,,,
2022-10-20,,,,0.040278393299667724,,,,,,,,
2022-09-28,,,,,0.04826392755707046,,,,0.04524606850633491,,,
2022-10-25,,,,,,,,,,0.04127973436586276,,
2022-10-13,,,,,,0.0471443586013341,,,,,,
2022-11-01,,,,,,,,,,,0.04595144601711096,0.038523804249293685
2022-09-07,,,0.04059699622387258,,,,,,,,,
2022-11-08,,0.036653341285643216,,,,,,,,,,
2023-02-02,,,,,,,0.03514116404553459,,,,,
2023-01-25,0.03514116404553459,,,0.059447807075197805,,,,,,,,
2022-12-21,,,,,0.04397043172058936,,,,,,,
2023-01-24,,,,,,,,,,0.03553588237870892,,
2022-12-22,,,,,,,,,0.04029978316609521,,,
2023-01-19,,,,,,0.049943305375367585,,,,,,
2023-02-09,,,,,,,,,,,0.05271018166102198,
2023-02-01,,,,,,,,0.05909504346320911,,,,
2022-11-16,,,0.04892809931566126,,,,,,,,,
2023-02-28,,0.03514116404553459,,,,,,,,,,0.03514116404553459
2023-04-27,,,,,,,0.02875151161671474,,,,,
2023-04-26,0.02875151161671474,,,,,,,0.02875151161671474,,,,
2023-04-20,,,,0.0446337723948698,,,,,,,,
2023-03-29,,,,,0.04154034363836603,,,,0.04013139585396251,,,
2023-04-25,,,,,,,,,,0.03161922227843287,,
2023-04-13,,,,,,0.037716940548233525,,,,,,
2023-05-02,,,,,,,,,,,0.04945007796757119,
2023-02-20,,,0.03884672789604212,,,,,,,,,
