,ADP,AXON,CPRT,CSX,CTAS,FAST,HON,ODFL,PAYX,PCAR,TRI,VRSK
2018-04-20,,,,,,,0.0349465183417916,,,,,
2018-05-02,0.03279525777449836,,,,,,,,,,,
2018-04-17,,,,0.07841152231973801,,,,,,,,
2018-03-22,,,,,0.05314204584917481,,,,,,,
2018-04-24,,,,,,,,,,0.055062438797924086,,
2018-03-26,,,,,,,,,0.04015903969753822,,,
2018-04-11,,,,,,0.039465728557976275,,,,,,
2018-05-11,,,,,,,,,,,0.03484658165968865,
2018-04-26,,,,,,,,0.04206784924822283,,,,
2018-02-26,,,0.054139502443910234,,,,,,,,,
2018-05-08,,-0.007785870608411754,,,,,,,,,,
2018-05-01,,,,,,,,,,,,0.017302129975616663
2018-07-20,,,,,,,0.04484789370315189,,,,,
2018-08-01,0.02417230202835714,,,,,,,,,,,
2018-07-17,,,,0.08508744296291625,,,,,,,,
2018-07-19,,,,,0.05462329483266189,,,,,,,
2018-07-24,,,,,,,,,,0.044480539644179896,,
2018-06-27,,,,,,,,,0.019349360166622413,,,
2018-07-11,,,,,,0.033557503688525864,,,,,,
2018-08-08,,,,,,,,,,,0.02658629233866837,
2018-07-26,,,,,,,,0.03440518366553606,,,,
2018-05-23,,,0.05139296346443564,,,,,,,,,
2018-08-07,,0.01154231480839332,,,,,,,,,,
2018-07-31,,,,,,,,,,,,0.023087326767295222
2018-10-19,,,,,,,0.022449501939515143,,,,,
2018-10-31,0.02040086746359997,,,,,,,,,,,
2018-10-16,,,,0.06772829566870861,,,,,,,,
2018-09-25,,,,,0.0599264678163998,,,,,,,
2018-10-23,,,,,,,,,,0.04738410711094297,,
2018-10-02,,,,,,,,,0.015760730182206667,,,
2018-10-10,,,,,,0.03767428262711042,,,,,,
2018-11-06,,0.023181943058755795,,,,,,,,,0.04368577100503603,
2018-10-25,,,,,,,,0.050790518296569005,,,,
2018-09-19,,,0.05238364972738832,,,,,,,,,
2018-10-30,,,,,,,,,,,,0.023804903546546033
2019-02-01,,,,,,,0.0603538477250917,,,,,
2019-01-30,0.032736947806007596,,,,,,,,,,,
2019-01-16,,,,0.07246530691912673,,,,,,,,
2018-12-20,,,,,0.0679290933979416,,,,,,,
2019-01-29,,,,,,,,,,0.060277207889499564,,
2018-12-19,,,,,,,,,0.027035199650274212,,,
2019-01-17,,,,,,0.06389896491233832,,,,,,
2019-02-26,,0.03523777943432623,,,,,,,,,0.059570253162194796,
2019-02-07,,,,,,,,0.06856361166261178,,,,
2018-11-20,,,0.05531159217317037,,,,,,,,,
2019-02-19,,,,,,,,,,,,0.032521825421575924
2019-04-18,,,,,,,0.047805410496067846,,,,,
2019-05-01,0.02775909854277113,,,,,,,,,,,
2019-04-16,,,,0.06015586782458048,,,,,,,,
2019-03-21,,,,,0.04886311431679173,,,,,,,
2019-04-30,,,,,,,,,,0.04142539392146103,,0.025597820991532197
2019-03-27,,,,,,,,,0.025360730195110738,,,
2019-04-11,,,,,,0.0513534981005144,,,,,,
2019-05-08,,,,,,,,,,,0.04405170669440974,
2019-04-25,,,,,,,,0.062039450817669935,,,,
2019-02-20,,,0.058909523742882455,,,,,,,,,
2019-05-09,,0.043567696282023644,,,,,,,,,,
2019-07-18,,,,,,,0.05130964824534188,,,,,
2019-07-31,0.04120619528798222,,,,,,,,,,,
2019-07-16,,,,0.061885877651744275,0.05755704889708091,,,,,,,
2019-07-23,,,,,,,,,,0.04508824736455348,,
2019-06-26,,,,,,,,,0.04018203655412783,,,
2019-07-11,,,,,,0.05199347413858288,,,,,,
2019-08-01,,,,,,,,,,,0.045967585118683645,
2019-07-25,,,,,,,,0.052337377417193263,,,,
2019-05-22,,,0.05868874075393082,,,,,,,,,
2019-08-08,,0.05093677889737036,,,,,,,,,,
2019-07-30,,,,,,,,,,,,0.037922440198346244
2019-10-17,,,,,,,0.06193526962938891,,,,,
2019-10-30,0.03782847699893722,,,,,,,,,,,
2019-10-16,,,,0.07804993797041929,,,,,,,,
2019-09-24,,,,,0.06878561283917124,,,,,,,
2019-10-22,,,,,,,,,,0.049204477761123515,,
2019-10-02,,,,,,,,,0.034037424810296465,,,
2019-10-11,,,,,,0.06967299688842242,,,,,,
2019-10-31,,,,,,,,,,,0.04449859572527748,
2019-10-24,,,,,,,,0.06774901497611382,,,,
2019-09-04,,,0.07551733829750018,,,,,,,,,
2019-11-07,,0.07242344221937963,,,,,,,,,,
2019-10-29,,,,,,,,,,,,0.043000317950606104
2020-01-31,,,,,,,0.029018038525871644,,,,,
2020-01-29,0.019298107887898753,,,,,,,,,,,
2020-01-16,,,,0.0547880486945202,,,,,,,,
2019-12-17,,,,,0.0421932893926089,,,,,,,
2020-01-28,,,,,,,,,,0.025943560047523958,,
2019-12-18,,,,,,,,,0.022844251600621427,,,
2020-01-17,,,,,,0.05701792549406702,,,,,,
2020-02-25,,,,,,,,,,,0.03052201591375006,
2020-02-06,,,,,,,,0.03496276296861669,,,,
2019-11-20,,,0.04775035842634455,,,,,,,,,
2020-02-27,,0.024932167213228957,,,,,,,,,,
2020-02-18,,,,,,,,,,,,0.01946502978107539
2020-05-01,,,,,,,0.06115402712259618,,,,,
2020-04-29,0.04459266404255103,,,,,,,,,,,
2020-04-22,,,,0.06919257517446847,,,,,,,,
2020-03-19,,,,,0.046817156613394445,,,,,,,
2020-04-21,,,,,,,,,,0.04317131903482053,,
2020-03-25,,,,,,,,,0.03767503967710882,,,
2020-04-14,,,,,,0.056156570488563276,,,,,,
2020-05-05,,,,,,,,,,,0.034717474324028615,0.029235295862739936
2020-04-23,,,,,,,,0.04698771975459614,,,,
2020-02-19,,,0.038409600050108565,,,,,,,,,
2020-05-07,,-0.00509255426004644,,,,,,,,,,
2020-07-24,,,,,,,0.05195866772988825,,,,,
2020-07-29,0.03604110469689679,,,,,,,,,,,
2020-07-22,,,,0.06508084718856867,,,,,,,,
2020-07-23,,,,,0.0561061971310962,,,,,,,
2020-07-21,,,,,,,,,,0.03910144850276327,,
2020-07-07,,,,,,,,,0.038578312085711164,,,
2020-07-14,,,,,,0.05578538490606082,,,,,,
2020-08-05,,,,,,,,,,,0.04707091522991762,
2020-07-30,,,,,,,,0.04712501288099194,,,,
2020-05-20,,,0.05830949627549093,,,,,,,,,
2020-08-06,,0.007181758029115847,,,,,,,,,,
2020-08-04,,,,,,,,,,,,0.034005435501317294
2020-10-30,,,,,,,0.052125671894021626,,,,,
2020-10-28,0.044911176774069715,,,,,,,,,,,
2020-10-21,,,,0.056230773201869,,,,,,,,
2020-09-23,,,,,0.04987447496523512,,,,,,,
2020-10-20,,,,,,,,,,0.029926141591936233,,
2020-10-06,,,,,,,,,0.04316473251574611,,,
2020-10-13,,,,,,0.05067897544945997,,,,,,
2020-11-03,,,,,,,,,,,0.042782680159483846,
2020-10-27,,,,,,,,0.048535294596853136,,,,
2020-09-02,,,0.0535810221586139,,,,,,,,,
2020-11-05,,0.010755618387169564,,,,,,,,,,
2020-11-04,,,,,,,,,,,,0.0414664671506743
2021-01-29,,,,,,,0.0486885530670714,,,,,
2021-01-27,0.040992926748798064,,,,,,,,,,,
2021-01-21,,,,0.053427446601169847,,,,,,,,
2020-12-22,,,,,0.05214533993156866,,,,,,,
2021-01-26,,,,,,,,,,0.023991054184090223,,
2020-12-23,,,,,,,,,0.033542551475747494,,,
2021-01-20,,,,,,0.052205184754948133,,,,,,
2021-02-23,,,,,,,,,,,0.052659767705271324,0.03182078236150242
2021-02-04,,,,,,,,0.04690656408168049,,,,
2020-11-18,,,0.03914794280970054,,,,,,,,,
2021-02-25,,0.003759315009367341,,,,,,,,,,
2021-04-23,,,,,,,0.03623739984595897,,,,,
2021-04-28,0.028662140349395994,,,,,,,,,,,
2021-04-20,,,,0.04457022337319529,,,,,,,,
2021-03-17,,,,,0.04188175269953746,,,,,,,
2021-04-27,,,,,,,,,,0.020676336447364236,,
2021-04-06,,,,,,,,,0.030577245117297112,,,
2021-04-13,,,,,,0.04365771973696251,,,,,,
2021-05-04,,,,,,,,,,,0.03847747943184124,0.024786672773172532
2021-04-22,,,,,,,,0.0419226199423156,,,,
2021-02-18,,,0.03978272750520108,,,,,,,,,
2021-05-06,,0.011824467268950978,,,,,,,,,,
2021-07-23,,,,,,,0.03405013630354206,,,,,
2021-07-28,0.032786839330004376,,,,,,,0.040515988260228473,,,,
2021-07-21,,,,0.04859739881565479,,,,,,,,
2021-07-15,,,,,0.03597907420442257,,,,,,,
2021-07-27,,,,,,,,,,0.022780729972683388,,
2021-06-25,,,,,,,,,0.03365655532331684,,,
2021-07-13,,,,,,0.04795075660936797,,,,,,
2021-08-05,,0.03095428879448613,,,,,,,,,0.0371639949238532,
2021-05-19,,,0.04406581257274379,,,,,,,,,
2021-08-03,,,,,,,,,,,,0.02728632765243558
2021-10-22,,,,,,,0.03285898807074413,,,,,
2021-10-27,0.0213019134517844,,,,,,,0.0505994599539979,,,,
2021-10-20,,,,0.06423016219824773,,,,,,,,
2021-09-29,,,,,0.03275189434523437,,,,,,,
2021-10-26,,,,,,,,,,0.024564705002950202,,
2021-09-30,,,,,,,,,0.01781489111502712,,,
2021-10-12,,,,,,0.05280371068473888,,,,,,
2021-11-02,,,,,,,,,,,0.0279839587168946,0.010432486350035602
2021-09-08,,,0.048765879752870674,,,,,,,,,
2021-11-15,,0.00995237840017296,,,,,,,,,,
2022-02-03,,,,,,,0.041289852508592705,,,,,
2022-01-26,0.033597252969254095,,,,,,,,,,,
2022-01-20,,,,0.06842486679544782,,,,,,,,
2021-12-22,,,,,0.04198788823847707,,,,0.02792217868463522,,,
2022-01-25,,,,,,,,,,0.027415721466805786,,
2022-01-19,,,,,,0.04886216630244807,,,,,,
2022-02-08,,,,,,,,,,,0.04467538182725003,
2022-02-02,,,,,,,,0.05301554995440871,,,,
2021-11-17,,,0.0542494945128373,,,,,,,,,
2022-02-24,,0.02339854839581307,,,,,,,,,,
2022-02-22,,,,,,,,,,,,0.038678143497131924
2022-04-29,,,,,,,0.03344043516006248,,,,,
2022-04-27,0.027554552142955425,,,,,,,0.04923086710232401,,,,
2022-04-20,,,,0.05339481161860693,,,,,,,,
2022-03-23,,,,,0.01572590642103849,,,,,,,
2022-04-26,,,,,,,,,,0.013345949105315693,,
2022-03-30,,,,,,,,,0.01029674613788353,,,
2022-04-13,,,,,,0.034395459025968765,,,,,,
2022-05-03,,,,,,,,,,,0.03386738052912445,0.011707699352919133
2022-02-16,,,0.04864004637099453,,,,,,,,,
2022-05-10,,0.03135023748073854,,,,,,,,,,
2022-07-28,,,,,,,0.03848919710336125,,,,,
2022-07-27,0.026842989712922587,,,,,,,0.06071689565683856,,,,
2022-07-20,,,,0.05610768431163992,,,,,,,,
2022-07-14,,,,,0.04518632607555911,,,,,,,
2022-07-26,,,,,,,,,,0.025621370216950646,,
2022-06-29,,,,,,,,,0.027106903373183323,,,
2022-07-13,,,,,,0.054638882820927354,,,,,,
2022-08-04,,,,,,,,,,,0.037954606763270345,
2022-05-18,,,0.06938192715444874,,,,,,,,,
2022-08-09,,0.04671844590625729,,,,,,,,,,
2022-08-02,,,,,,,,,,,,0.020612024968704803
2022-10-27,,,,,,,0.040962686124527074,,,,,
2022-10-26,0.029161871961474402,,,,,,,0.058821085061942016,,,,
2022-10-20,,,,0.06331579319649835,,,,,,,,
2022-09-28,,,,,0.045124358032657616,,,,0.03356351452022568,,,
2022-10-25,,,,,,,,,,0.03030054496511956,,
2022-10-13,,,,,,0.058419434358330184,,,,,,
2022-11-01,,,,,,,,,,,0.04538477167474001,0.02651000157958796
2022-09-07,,,0.059597877394745646,,,,,,,,,
2022-11-08,,0.041925932929279514,,,,,,,,,,
2023-02-02,,,,,,,0.03862016906798799,,,,,
2023-01-25,0.03840295705500348,,,0.0609130123534239,,,,,,,,
2022-12-21,,,,,0.04937731814693034,,,,,,,
2023-01-24,,,,,,,,,,0.0320291038957095,,
2022-12-22,,,,,,,,,0.03951416431462841,,,
2023-01-19,,,,,,0.0662442744711414,,,,,,
2023-02-09,,,,,,,,,,,0.0514789814799738,
2023-02-01,,,,,,,,0.0644224618441637,,,,
2022-11-16,,,0.07188100779121646,,,,,,,,,
2023-02-28,,0.048182752306497836,,,,,,,,,,0.03594137401088195
2023-04-27,,,,,,,0.03271278330689875,,,,,
2023-04-26,0.022353205079405764,,,,,,,0.039624729793175245,,,,
2023-04-20,,,,0.05597025655098262,,,,,,,,
2023-03-29,,,,,0.04157025611126842,,,,0.036338226381484075,,,
2023-04-25,,,,,,,,,,0.027274552472467718,,
2023-04-13,,,,,,0.054228976254239204,,,,,,
2023-05-02,,,,,,,,,,,0.038131128957459445,
2023-02-20,,,0.05842531783416922,,,,,,,,,
2023-05-09,,0.028560294854062,,,,,,,,,,
2023-05-03,,,,,,,,,,,,0.019406752573422975
2023-07-27,,,,,,,0.021068006391783252,,,,,
2023-07-26,0.015360526534740453,,,,,,,0.027145702840991846,,,,
2023-07-20,,,,0.04784125570439657,,,,,,,,
2023-07-13,,,,,0.04069464335008835,0.05100494359356006,,,,,,
2023-07-25,,,,,,,,,,0.026000666654470015,,
2023-06-29,,,,,,,,,0.030611073380459927,,,
2023-08-02,,,,,,,,,,,0.039189367573156574,0.009510749000891357
2023-05-17,,,0.04452978897526041,,,,,,,,,
2023-08-08,,0.030267938048662235,,,,,,,,,,
2023-10-26,,,,,,,0.030403937707597063,,,,,
2023-10-25,0.02715025190119926,,,,,,,0.03000346593152353,,,,
2023-10-19,,,,0.04277766488374365,,,,,,,,
2023-09-26,,,,,0.03948557080209665,,,,,,,
2023-10-24,,,,,,,,,,0.0321941163310644,,
2023-09-27,,,,,,,,,0.035325149805383864,,,
2023-10-12,,,,,,0.04335004711347735,,,,,,
2023-11-01,,,,,,,,,,,0.04107131931635455,0.011082564268332974
2023-09-14,,,0.03009605076326095,,,,,,,,,
2023-11-07,,0.024443644266266516,,,,,,,,,,
2024-02-01,,,,,,,0.023085792126065038,,,,,
2024-01-31,0.017553832337070252,,,,,,,0.03230453143769267,,,,
2024-01-24,,,,0.04658172318750626,,,,,,,,
2023-12-21,,,,,0.040886510705131114,,,,0.028388307053288427,,,
2024-01-23,,,,,,,,,,0.031615939202163844,,
2024-01-18,,,,,,0.03912015858942034,,,,,,
2024-02-08,,,,,,,,,,,0.03235058892480941,
2023-11-16,,,0.04109190918755722,,,,,,,,,
2024-02-27,,0.017411917369751423,,,,,,,,,,
2024-02-21,,,,,,,,,,,,0.008155853136080506
2024-04-25,,,,,,,0.030878398343091824,,,,,
2024-05-01,0.017878200440906062,,,,,,,,,,,-0.0007882879669674151
2024-04-17,,,,0.04384841462480018,,,,,,,,
2024-03-27,,,,,0.032018474646403165,,,,,,,
2024-04-30,,,,,,,,,,0.036168476916799634,,
2024-04-02,,,,,,,,,0.024313915812150092,,,
2024-04-11,,,,,,0.03719004094288906,,,,,,
2024-05-02,,,,,,,,,,,0.03187743876539524,
2024-04-24,,,,,,,,0.03222123096322868,,,,
2024-02-22,,,0.03639366237959636,,,,,,,,,
2024-05-06,,0.0203474592875109,,,,,,,,,,
2024-07-25,,,,,,,0.033537747897775666,,,,,
2024-07-31,0.03491376397576772,,,,,,,,,,,0.023890746964672888
2024-08-05,,,,0.043494365897748584,,,,,,,,
2024-07-18,,,,,0.038153516254338764,,,,,,,
2024-07-23,,,,,,,,,,0.036542217673103124,,
2024-06-26,,,,,,,,,0.034164556203224394,,,
2024-07-12,,,,,,0.046467481560483526,,,,,,
2024-08-01,,,,,,,,,,,0.02970400156034179,
2024-07-24,,,,,,,,0.03949752566519865,,,,
2024-05-16,,,0.043260495374382195,,,,,,,,,
2024-08-06,,0.03216381039838999,,,,,,,,,,
2024-10-24,,,,,,,0.030387974462838377,,,,,
2024-10-30,0.023431977029551177,,,,,,,,,,,0.011795741341150903
2024-10-16,,,,0.04354638258765818,,,,,,,,
2024-09-25,,,,,0.031421990153662385,,,,,,,
2024-10-22,,,,,,,,,,0.03318658146024333,,
2024-10-01,,,,,,,,,0.024513506502145104,,,
2024-10-11,,,,,,0.04339841658292734,,,,,,
2024-11-05,,,,,,,,,,,0.03139236578801233,
2024-10-23,,,,,,,,0.04026778371473533,,,,
2024-09-04,,,0.04494633525860717,,,,,,,,,
2024-11-07,,0.03527003505337003,,,,,,,,,,
2025-02-06,,,,,,,0.02977953029749463,,,,0.03685036522099296,
2025-01-29,0.022324690020229333,,,,,,,,,,,
2025-01-23,,,,0.043230653796873214,,,,,,,,
2024-12-19,,,,,0.035417816723395605,,,,0.020202564042687145,,,
2025-01-28,,,,,,,,,,0.03319468395538882,,
2025-01-17,,,,,,0.043552597268526706,,,,,,
2025-02-05,,,,,,,,0.03875458860286436,,,,
2024-11-21,,,0.047529451227596935,,,,,,,,,
2025-02-25,,0.030994697417500824,,,,,,,,,,
2025-02-26,,,,,,,,,,,,0.013988978677828274
2025-04-29,,,,,,,0.03058269277761131,,,0.03857940543124664,,
2025-04-30,0.026050572355187956,,,,,,,,,,,
2025-04-16,,,,0.04600593312988265,,,,,,,,
2025-03-26,,,,,0.04059474798044763,,,,0.029214949704422698,,,
2025-04-11,,,,,,0.04809185192626837,,,,,,
2025-05-01,,,,,,,,,,,0.03359513937611454,
2025-04-23,,,,,,,,0.04366957057312941,,,,
2025-02-20,,,0.053409587682431627,,,,,,,,,
2025-05-07,,0.04305568522396883,,,,,,,,,,0.020302626902299416
2025-07-24,,,,,,,0.02822900117064264,,,,,
2025-07-30,0.020801294197181814,,,,,,,0.03994046151538598,,,,0.015181678355388042
2025-07-23,,,,0.044013210243243374,,,,,,,,
2025-07-17,,,,,0.034229030073225884,,,,,,,
2025-07-22,,,,,,,,,,0.034858006012827666,,
2025-06-25,,,,,,,,,0.013526757894439793,,,
2025-07-14,,,,,,0.04187420191973817,,,,,,
2025-08-06,,,,,,,,,,,0.02862228450011336,
2025-05-22,,,0.044375450196827586,,,,,,,,,
2025-08-04,,0.026117875193389418,,,,,,,,,,
2025-10-23,,,,,,,0.037931213674934565,,,,,
2025-10-29,0.03776971340319212,,,,,,,0.04250300589773655,,,,0.031103051637278608
2025-10-16,,,,0.04408241353793251,,,,,,,,
2025-09-24,,,,,0.04378140731946747,,,,,,,
2025-10-21,,,,,,,,,,0.03239829463885855,,
2025-09-30,,,,,,,,,0.03666227146454755,,,
2025-10-13,,,,,,0.04642845374642818,,,,,,
2025-11-04,,0.036703145117364215,,,,,,,,,0.03526554623184128,
2025-09-04,,,0.04483889308515475,,,,,,,,,
2026-01-29,,,,,,,0.04085540877683779,,,,,
2026-01-28,0.034061794330420496,,,,,,,,,,,
2026-01-22,,,,0.02699531274899774,,,,,,,,
2025-12-18,,,,,0.04472391954460148,,,,,,,
2026-01-27,,,,,,,,,,0.024415357461842112,,
2025-12-19,,,,,,,,,0.039192417458539894,,,
2026-01-20,,,,,,0.051394595632209474,,,,,,
2026-02-05,,,,,,,,,,,0.043892306197315614,
2026-02-04,,,,,,,,0.027175850762083585,,,,
2025-11-20,,,0.05429756450026486,,,,,,,,,
