,ABNB,AMZN,BKNG,DASH,LULU,MAR,MELI,ORLY,PDD,ROST,SBUX,TSLA
2018-03-06,,,,,,,,,,0.04832075819340982,,
2018-04-26,,0.04889517518644874,,,,,,,,,0.05110770743664102,
2018-04-25,,,,,,,,0.048418029869563735,,,,
2018-05-08,,,,,,0.05158485275352602,,,,,,
2018-05-09,,,0.04989375892068855,,,,0.05077398431244838,,,,,
2018-03-27,,,,,0.04832075819340982,,,,,,,
2018-05-02,,,,,,,,,,,,0.04889517518644874
2018-05-24,,,,,,,,,,0.04012596571930011,,
2018-07-26,,0.0477926165184186,,,,,,,,,0.04643583861545449,
2018-07-25,,,,,,,,0.04012596571930011,,,,
2018-08-06,,,,,,0.04643583861545449,,,,,,
2018-08-09,,,0.0477926165184186,,,,,,,,,
2018-05-31,,,,,0.036588427540755614,,,,,,,
2018-08-08,,,,,,,0.036588427540755614,,,,,
2018-08-01,,,,,,,,,,,,0.0477926165184186
2018-08-23,,,,,,,,,,0.03431833074866069,,
2018-11-01,,,,,,,0.03519984193924918,,,,0.03519984193924918,
2018-10-24,,,,,,,,0.03431833074866069,,,,0.04299622352698095
2018-11-05,,,0.04299622352698095,,,0.03519984193924918,,,,,,
2018-11-20,,,,,,,,,0.03431833074866069,0.03570470328862129,,
2018-10-25,,0.04299622352698095,,,,,,,,,,
2018-08-30,,,,,0.03431833074866069,,,,,,,
2019-01-24,,,,,,,,,,,0.03570470328862129,
2019-02-06,,,,,,,,0.04192065854899404,,,,
2019-02-28,,,,,,0.048603615947215774,,,,,,
2019-03-13,,,,,,,,,0.03986036229457423,,,
2019-01-31,,0.03570470328862129,,,,,,,,,,
2019-02-27,,,0.03986036229457423,,,,,,,,,
2018-12-06,,,,,0.03570470328862129,,,,,,,
2019-02-26,,,,,,,0.048603615947215774,,,,,
2019-01-30,,,,,,,,,,,,0.04192065854899404
2019-03-05,,,,,,,,,,0.04680460752671321,,
2019-04-25,,0.047654888838931944,,,,,,,,,0.04386188192660501,
2019-04-24,,,,,,,,0.04386188192660501,,,,0.042813677980712596
2019-05-10,,,,,,0.05331794572046196,,,,,,
2019-05-20,,,,,,,,,0.045756403580820795,,,
2019-05-09,,,0.05331794572046196,,,,,,,,,
2019-03-27,,,,,0.04680460752671321,,,,,,,
2019-05-02,,,,,,,0.0441225650724825,,,,,
2019-05-23,,,,,,,,,,0.03748816020968564,,
2019-07-25,,0.04751185152326403,,,,,,,,,0.05079476139112264,
2019-07-24,,,,,,,,0.04342613833733315,,,,0.05079476139112264
2019-08-05,,,,,,0.04800666047439693,,,,,,
2019-08-21,,,,,,,,,0.04972022828865394,,,
2019-08-07,,,0.04990255118778894,,,,0.04636214028346337,,,,,
2019-06-12,,,,,0.03748816020968564,,,,,,,
2019-08-22,,,,,,,,,,0.046938647280498534,,
2019-10-30,,,,,,,,,,,0.051962984257493836,
2019-10-23,,,,,,,,0.05099237469928923,,,,0.05360625492161385
2019-11-04,,,,,,0.05099237469928923,,,,,,
2019-11-20,,,,,,,,,0.040569275748219884,,,
2019-10-24,,0.0516029838353225,,,,,,,,,,
2019-11-07,,,0.05286547980624425,,,,,,,,,
2019-09-05,,,,,0.042056436328236524,,,,,,,
2019-10-31,,,,,,,0.04822089401343111,,,,,
2019-11-21,,,,,,,,,,0.0445808311088745,,
2020-01-28,,,,,,,,,,,0.041636011767313956,
2020-02-05,,,,,,,,0.0445808311088745,,,,
2020-02-26,,,0.032193152580924124,,,0.0445808311088745,,,,,,
2020-03-11,,,,,,,,,0.032193152580924124,,,
2020-01-30,,0.0445808311088745,,,,,,,,,,
2019-12-11,,,,,0.032193152580924124,,,,,,,
2020-02-10,,,,,,,0.04619810845895997,,,,,
2020-01-29,,,,,,,,,,,,0.03842941860375439
2020-03-03,,,,,,,,,,0.04514647229258513,,
2020-04-28,,,,,,,,,,,0.057073589790341,
2020-04-22,,,,,,,,0.049291093255916116,,,,
2020-05-11,,,,,,0.04418933386688864,,,,,,
2020-05-22,,,,,,,,,0.03632414363892036,,,
2020-04-30,,0.04514647229258513,,,,,,,,,,
2020-05-07,,,0.03632414363892036,,,,,,,,,
2020-03-26,,,,,0.03920629197919219,,,,,,,
2020-05-05,,,,,,,0.03632414363892036,,,,,
2020-04-29,,,,,,,,,,,,0.03632414363892036
2020-05-21,,,,,,,,,,0.036548386907016894,,
2020-07-28,,,,,,,,,,,0.052349269704501475,
2020-07-29,,,,,,,,0.046396612126161904,,,,
2020-08-10,,,,,,0.04024951646895842,0.052349269704501475,,,,,
2020-08-21,,,,,,,,,0.036548386907016894,,,
2020-07-30,,0.04702463912606063,,,,,,,,,,
2020-08-06,,,0.042128104891859065,,,,,,,,,
2020-06-11,,,,,0.042128104891859065,,,,,,,
2020-07-22,,,,,,,,,,,,0.03838153247383709
2020-08-20,,,,,,,,,,0.04048781343429978,,
2020-10-29,,0.04102181255840031,,,,,,,,,0.054643331179388084,
2020-10-28,,,,,,,,0.04902393515172187,,,,
2020-11-06,,,,,,0.04119414643780928,,,,,,
2020-11-12,,,,,,,,,0.04048781343429978,,,
2020-11-05,,,0.043957520560365955,,,,,,,,,
2020-09-08,,,,,0.04536346211495506,,,,,,,
2020-11-04,,,,,,,0.044694670760070665,,,,,
2020-10-21,,,,,,,,,,,,0.044694670760070665
2020-11-19,,,,,,,,,,0.03945023347898835,,
2021-01-26,,,,,,,,,,,0.05972907654155395,
2021-02-10,,,,,,,,0.050331359019902655,,,,
2021-02-18,,,,,,0.050331359019902655,,,,,,
2021-03-17,,,,,,,,,0.04640012445334187,,,
2021-02-25,0.04640012445334187,,,0.04640012445334187,,,,,,,,
2021-02-02,,0.06060641711831977,,,,,,,,,,
2021-02-24,,,0.04640012445334187,,,,,,,,,
2020-12-10,,,,,0.05150525686407762,,,,,,,
2021-03-01,,,,,,,0.04640012445334187,,,,,
2021-01-27,,,,,,,,,,,,0.04640012445334187
2021-03-02,,,,,,,,,,0.04744235170095422,,
2021-04-27,,,,,,,,,,,0.05195676382925216,
2021-04-28,,,,,,,,0.034378027378358746,,,,
2021-05-10,,,,,,0.01745516277915003,,,,,,
2021-05-26,,,,,,,,,0.03470197226736223,,,
2021-05-13,0.03609298412265644,,,0.03470197226736223,,,,,,,,
2021-04-29,,0.035238812825324255,,,,,,,,,,
2021-05-05,,,0.041530775142341235,,,,0.050313626331555825,,,,,
2021-03-30,,,,,0.041369257034322295,,,,,,,
2021-04-26,,,,,,,,,,,,0.0271247317176224
2021-05-20,,,,,,,,,,0.058144865083582666,,
2021-07-27,,,,,,,,,,,0.05513815762106406,
2021-07-28,,,,,,,,0.037655095836526514,,,,
2021-08-03,,,,,,0.027575919100610212,,,,,,
2021-08-24,,,,,,,,,0.08264241189472872,,,
2021-08-12,0.08516662342567555,,,0.08264241189472872,,,,,,,,
2021-07-29,,0.0577064342048867,,,,,,,,,,
2021-08-04,,,0.07659874635882559,,,,0.05936199852726782,,,,,
2021-06-03,,,,,0.062288695863049914,,,,,,,
2021-07-26,,,,,,,,,,,,0.05642001064682332
2021-08-19,,,,,,,,,,0.06377450788729196,,
2021-10-28,,0.06169731125778477,,,,,,,,,0.056008474226493625,
2021-10-27,,,,,,,,0.05496026818001182,,,,
2021-11-03,,,0.062086441976898145,,,0.05828455044612142,,,,,,
2021-11-26,,,,,,,,,0.06208619745621,,,
2021-11-09,,,,0.06054457181627365,,,,,,,,
2021-11-04,0.06494610716425991,,,,,,0.06169731125778477,,,,,
2021-09-08,,,,,0.060628925135525924,,,,,,,
2021-10-20,,,,,,,,,,,,0.06169731125778477
2021-11-18,,,,,,,,,,0.06697332103838959,,
2022-02-01,,,,,,,,,,,0.05793711072202455,
