,ABNB,AMZN,BKNG,DASH,LULU,MAR,MELI,ORLY,PDD,ROST,SBUX,TSLA
2020-03-03,,,,,,,,,,0.04716276553932568,,
2020-04-28,,,,,,,,,,,0.04682315982197812,
2020-04-22,,,,,,,,0.04682315982197812,,,,
2020-05-11,,,,,,0.04682315982197812,,,,,,
2020-05-22,,,,,,,,,0.04716276553932568,,,
2020-04-30,,0.04716276553932568,,,,,,,,,,
2020-05-07,,,0.04716276553932568,,,,,,,,,
2020-03-26,,,,,0.04716276553932568,,,,,,,
2020-05-05,,,,,,,0.04716276553932568,,,,,
2020-04-29,,,,,,,,,,,,0.04716276553932568
2020-05-21,,,,,,,,,,0.044635522603049704,,
2020-07-28,,,,,,,,,,,0.044635522603049704,
2020-07-29,,,,,,,,0.044635522603049704,,,,
2020-08-10,,,,,,0.044635522603049704,0.044635522603049704,,,,,
2020-08-21,,,,,,,,,0.044635522603049704,,,
2020-07-30,,0.044635522603049704,,,,,,,,,,
2020-08-06,,,0.044635522603049704,,,,,,,,,
2020-06-11,,,,,0.044635522603049704,,,,,,,
2020-07-22,,,,,,,,,,,,0.044635522603049704
2020-08-20,,,,,,,,,,0.04776775391081416,,
2020-10-29,,0.04776775391081416,,,,,,,,,0.04776775391081416,
2020-10-28,,,,,,,,0.04776775391081416,,,,
2020-11-06,,,,,,0.04776775391081416,,,,,,
2020-11-12,,,,,,,,,0.04776775391081416,,,
2020-11-05,,,0.04776775391081416,,,,,,,,,
2020-09-08,,,,,0.04776775391081416,,,,,,,
2020-11-04,,,,,,,0.04776775391081416,,,,,
2020-10-21,,,,,,,,,,,,0.04776775391081416
2020-11-19,,,,,,,,,,0.05083699198048284,,
2021-01-26,,,,,,,,,,,0.05083699198048284,
2021-02-10,,,,,,,,0.05083699198048284,,,,
2021-02-18,,,,,,0.05083699198048284,,,,,,
2021-03-17,,,,,,,,,0.05083699198048284,,,
2021-02-25,0.05083699198048284,,,0.05083699198048284,,,,,,,,
2021-02-02,,0.05083699198048284,,,,,,,,,,
2021-02-24,,,0.05083699198048284,,,,,,,,,
2020-12-10,,,,,0.05083699198048284,,,,,,,
2021-03-01,,,,,,,0.05083699198048284,,,,,
2021-01-27,,,,,,,,,,,,0.05083699198048284
2021-03-02,,,,,,,,,,0.049426600355498965,,
2021-04-27,,,,,,,,,,,0.038879941268642915,
2021-04-28,,,,,,,,0.032044792523721284,,,,
2021-05-10,,,,,,0.012576450008709082,,,,,,
2021-05-26,,,,,,,,,0.03972263083851728,,,
2021-05-13,0.030488731990064622,,,0.0406108629676233,,,,,,,,
2021-04-29,,0.045071780031670894,,,,,,,,,,
2021-05-05,,,0.03222242158728664,,,,0.031103377657820563,,,,,
2021-03-30,,,,,0.0444853691905242,,,,,,,
2021-04-26,,,,,,,,,,,,0.04140829429422405
2021-05-20,,,,,,,,,,0.055172513099934234,,
2021-07-27,,,,,,,,,,,0.05523323081211147,
2021-07-28,,,,,,,,0.030824768532229974,,,,
2021-08-03,,,,,,0.041903059674581106,,,,,,
2021-08-24,,,,,,,,,0.09683687873975243,,,
2021-08-12,0.09220546704218985,,,0.09426262184484623,,,,,,,,
2021-07-29,,0.05818233486817391,,,,,,,,,,
2021-08-04,,,0.06367103628254564,,,,0.06633703177670489,,,,,
2021-06-03,,,,,0.0571345787168007,,,,,,,
2021-07-26,,,,,,,,,,,,0.06114718171071574
2021-08-19,,,,,,,,,,0.06080867830721671,,
2021-10-28,,0.06080867830721671,,,,,,,,,0.06080867830721671,
2021-10-27,,,,,,,,0.06080867830721671,,,,
2021-11-03,,,0.06080867830721671,,,0.06080867830721671,,,,,,
2021-11-26,,,,,,,,,0.06080867830721671,,,
2021-11-09,,,,0.06080867830721671,,,,,,,,
2021-11-04,0.06080867830721671,,,,,,0.06080867830721671,,,,,
2021-09-08,,,,,0.06080867830721671,,,,,,,
2021-10-20,,,,,,,,,,,,0.06080867830721671
2021-11-18,,,,,,,,,,0.06878731170608254,,
2022-02-01,,,,,,,,,,,0.06878731170608254,
2022-02-09,,,,,,,,0.06878731170608254,,,,
2022-02-15,0.06878731170608254,,,,,0.06878731170608254,,,,,,
2022-03-21,,,,,,,,,0.06878731170608254,,,
2022-02-16,,,,0.06878731170608254,,,,,,,,
2022-02-03,,0.06878731170608254,,,,,,,,,,
2022-02-23,,,0.06878731170608254,,,,,,,,,
2021-12-09,,,,,0.06878731170608254,,,,,,,
2022-02-22,,,,,,,0.06878731170608254,,,,,
2022-01-26,,,,,,,,,,,,0.06878731170608254
2022-03-01,,,,,,,,,,0.06978116435696771,,
2022-05-03,0.06978116435696771,,,,,,,,,,0.06978116435696771,
2022-04-27,,,,,,,,0.06978116435696771,,,,
2022-05-04,,,0.06978116435696771,,,0.06978116435696771,,,,,,
2022-05-27,,,,,,,,,0.06978116435696771,,,
2022-05-05,,,,0.06978116435696771,,,0.06978116435696771,,,,,
2022-04-28,,0.06978116435696771,,,,,,,,,,
2022-03-29,,,,,0.06978116435696771,,,,,,,
2022-04-20,,,,,,,,,,,,0.06978116435696771
2022-05-19,,,,,,,,,,0.06392648620515752,,
2022-08-02,0.06738725785839685,,,,,0.03907343292708161,,,,,0.04975859424200908,
2022-07-27,,,,,,,,0.052219135930352704,,,,
2022-08-29,,,,,,,,,0.06091584224090432,,,
2022-08-04,,,,0.08395718342972365,,,,,,,,
2022-07-28,,0.07508433953000003,,,,,,,,,,
2022-08-03,,,0.059157103928137555,,,,0.07554437760429834,,,,,
2022-06-02,,,,,0.05397581223666133,,,,,,,
2022-07-20,,,,,,,,,,,,0.06289420224059974
2022-08-18,,,,,,,,,,0.06256335238244924,,
2022-11-03,,,,0.06256335238244924,,0.06256335238244924,0.06256335238244924,,,,0.06256335238244924,
2022-10-26,,,,,,,,0.06256335238244924,,,,
2022-11-28,,,,,,,,,0.06256335238244924,,,
2022-11-01,0.06256335238244924,,,,,,,,,,,
2022-10-27,,0.06256335238244924,,,,,,,,,,
2022-11-02,,,0.06256335238244924,,,,,,,,,
2022-09-01,,,,,0.06256335238244924,,,,,,,
2022-10-19,,,,,,,,,,,,0.06256335238244924
2022-11-17,,,,,,,,,,0.05485626222854405,,
2023-02-02,,0.05485626222854405,,,,,,,,,0.05485626222854405,
2023-02-08,,,,,,,,0.05485626222854405,,,,
2023-02-14,0.05485626222854405,,,,,0.05485626222854405,,,,,,
2023-03-20,,,,,,,,,0.05485626222854405,,,
2023-02-16,,,,0.05485626222854405,,,,,,,,
