,ABNB,AMZN,BKNG,DASH,LULU,MAR,MELI,ORLY,PDD,ROST,SBUX,TSLA
2018-03-06,,,,,,,,,,0.05877058580517769,,
2018-04-26,,0.05342484638094902,,,,,,,,,0.05109134688973427,
2018-04-25,,,,,,,,0.043814659118652344,,,,
2018-05-08,,,,,,0.03862990811467171,,,,,,
2018-05-09,,,0.044324517250061035,,,,0.02595188282430172,,,,,
2018-03-27,,,,,0.02792675793170929,,,,,,,
2018-05-02,,,,,,,,,,,,0.039813149720430374
2018-05-24,,,,,,,,,,0.04064346104860306,,
2018-07-26,,0.05047200992703438,,,,,,,,,0.037285350263118744,
2018-07-25,,,,,,,,0.029360035434365273,,,,
2018-08-06,,,,,,0.029360035434365273,,,,,,
2018-08-09,,,0.04617740958929062,,,,,,,,,
2018-05-31,,,,,0.020153513178229332,,,,,,,
2018-08-08,,,,,,,0.05782542750239372,,,,,
2018-08-01,,,,,,,,,,,,0.037522271275520325
2018-08-23,,,,,,,,,,0.0350528284907341,,
2018-11-01,,,,,,,0.014545224606990814,,,,0.026567816734313965,
2018-10-24,,,,,,,,0.028407981619238853,,,,0.04638614505529404
2018-11-05,,,0.051179323345422745,,,0.03974248841404915,,,,,,
2018-11-20,,,,,,,,,0.014545224606990814,0.039220646023750305,,
2018-10-25,,0.04403692111372948,,,,,,,,,,
2018-08-30,,,,,0.0350528284907341,,,,,,,
2019-01-24,,,,,,,,,,,0.03595192730426788,
2019-02-06,,,,,,,,0.035476312041282654,,,,
2019-02-28,,,,,,0.047866251319646835,,,,,,
2019-03-13,,,,,,,,,0.040900614112615585,,,
2019-01-31,,0.04599703475832939,,,,,,,,,,
2019-02-27,,,0.040900614112615585,,,,,,,,,
2018-12-06,,,,,0.04437117278575897,,,,,,,
2019-02-26,,,,,,,0.0584435760974884,,,,,
2019-01-30,,,,,,,,,,,,0.03248362988233566
2019-03-05,,,,,,,,,,0.046534281224012375,,
2019-04-25,,0.049074698239564896,,,,,,,,,0.0362878255546093,
2019-04-24,,,,,,,,0.04636300355195999,,,,0.0362878255546093
2019-05-10,,,,,,0.0362878255546093,,,,,,
2019-05-20,,,,,,,,,0.023215144872665405,,,
2019-05-09,,,0.046534281224012375,,,,,,,,,
2019-03-27,,,,,0.046534281224012375,,,,,,,
2019-05-02,,,,,,,0.023215144872665405,,,,,
2019-05-23,,,,,,,,,,0.03911357372999191,,
2019-07-25,,0.060955170542001724,,,,,,,,,0.0496203750371933,
2019-07-24,,,,,,,,0.04524559900164604,,,,0.062053341418504715
2019-08-05,,,,,,0.037362657487392426,,,,,,
2019-08-21,,,,,,,,,0.05806717276573181,,,
2019-08-07,,,0.04524559900164604,,,,0.02309628762304783,,,,,
2019-06-12,,,,,0.052570246160030365,,,,,,,
2019-08-22,,,,,,,,,,0.044659536331892014,,
2019-10-30,,,,,,,,,,,0.05083931237459183,
2019-10-23,,,,,,,,0.05276326462626457,,,,0.061727650463581085
2019-11-04,,,,,,0.049722377210855484,,,,,,
2019-11-20,,,,,,,,,0.044659536331892014,,,
2019-10-24,,0.061727650463581085,,,,,,,,,,
2019-11-07,,,0.044659536331892014,,,,,,,,,
2019-09-05,,,,,0.04386989027261734,,,,,,,
2019-10-31,,,,,,,0.0252818763256073,,,,,
2019-11-21,,,,,,,,,,0.042812004685401917,,
2020-01-28,,,,,,,,,,,0.04188486188650131,
2020-02-05,,,,,,,,0.042812004685401917,,,,
2020-02-26,,,0.042176250368356705,,,0.036781881004571915,,,,,,
2020-03-11,,,,,,,,,0.05170333757996559,,,
2020-01-30,,0.04406479746103287,,,,,,,,,,
2019-12-11,,,,,0.043747108429670334,,,,,,,
2020-02-10,,,,,,,0.021441515535116196,,,,,
2020-01-29,,,,,,,,,,,,0.056464578956365585
2020-03-03,,,,,,,,,,0.044047754257917404,,
2020-04-28,,,,,,,,,,,0.05265159159898758,
2020-04-22,,,,,,,,0.050138797610998154,,,,
2020-05-11,,,,,,0.03901301696896553,,,,,,
2020-05-22,,,,,,,,,0.02534494735300541,,,
2020-04-30,,0.04561683163046837,,,,,,,,,,
2020-05-07,,,0.03865373507142067,,,,,,,,,
2020-03-26,,,,,0.04561683163046837,,,,,,,
2020-05-05,,,,,,,0.05980679392814636,,,,,
2020-04-29,,,,,,,,,,,,0.0607108548283577
2020-05-21,,,,,,,,,,0.050039831548929214,,
2020-07-28,,,,,,,,,,,0.05422911420464516,
2020-07-29,,,,,,,,0.04462629556655884,,,,
2020-08-10,,,,,,0.03756159916520119,0.052740130573511124,,,,,
2020-08-21,,,,,,,,,0.024439821019768715,,,
2020-07-30,,0.04462629556655884,,,,,,,,,,
