,CCEP,COST,KDP,KHC,MDLZ,MNST,PEP
2020-04-30,,,,-0.011898062191903591,,,
2020-04-28,,,,,0.006582385860383511,,0.006582385860383511
2020-05-07,,,,,,0.012239760719239712,
2020-04-27,,,0.012239760719239712,,,,
2020-03-05,,0.0071649388410151005,,,,,
2020-07-30,,,0.011785984208966474,0.01050582919568914,,,
2020-07-13,,,,,,,0.007635023230198591
2020-08-06,0.01050582919568914,,,,,,
2020-08-04,,,,,,0.011785984208966474,
2020-05-28,,0.011418103411222805,,,,,
2020-07-28,,,,,0.0058970259065734155,,
2020-10-29,,,0.01682468131184578,-0.007154405117034912,,,
2020-10-01,,,,,,,0.010182137601077557
2020-11-05,,,,,,-0.010621697641909122,
2020-09-24,,0.012553976848721504,,,,,
2020-11-02,,,,,0.004664191510528326,,
2021-02-11,0.01285593118518591,,,0.02861122228205204,,,0.008298547007143497
2021-02-25,,,0.009069446474313736,,,0.009492827579379082,
2020-12-10,,0.01285593118518591,,,,,
2021-01-28,,,,,0.007116616703569889,,
2021-04-29,,,-0.0010346329559897509,-0.0001020171359268902,,,
2021-04-15,,,,,,,-0.0010346329559897509
2021-05-06,,,,,,-0.0010346329559897509,
2021-03-04,,-0.0001020171359268902,,,,,
2021-04-27,,,,,-0.0010346329559897509,,
2021-08-04,,,,0.00646111168842417,,,
2021-07-13,,,,,,,0.00646111168842417
2021-09-02,0.00646111168842417,,,,,,
2021-08-05,,,,,,0.00646111168842417,
2021-07-29,,,0.00646111168842417,,,,
2021-05-27,,0.00646111168842417,,,,,
2021-07-27,,,,,0.00646111168842417,,
2021-10-27,,,,-0.010452963411808014,,,
2021-10-05,,,,,,,0.010105078108608723
2021-11-04,,,,,,-0.001032068277709186,
2021-10-28,,,0.0040932875126600266,,,,
2021-09-23,,0.010105078108608723,,,,,
2021-11-02,,,,,0.010105078108608723,,
2022-02-16,0.013538298197090626,,,0.0139387845993042,,,
2022-02-10,,,,,,,0.017792178317904472
2022-02-24,,,0.0047164601273834705,,,0.02139049768447876,
2021-12-09,,0.013538298197090626,,,,,
2022-01-27,,,,,0.013538298197090626,,
2022-04-27,,,,0.03868783265352249,,,
2022-04-26,,,,,0.01287812739610672,,0.01287812739610672
2022-05-05,,,,,,0.021002894267439842,
2022-04-28,,,0.01555485837161541,,,,
2022-03-03,,0.01705309748649597,,,,,
2022-07-27,,,,0.037205394357442856,,,
2022-07-12,,,,,,,0.01433259155601263
2022-08-04,0.01433259155601263,,,,,0.012565657496452332,
2022-07-28,,,0.014546912163496017,,,,
2022-05-26,,0.015830567106604576,,,,,
2022-07-26,,,,,0.01433259155601263,,
2022-10-26,,,,0.004057913790797251,,,
2022-10-12,,,,,,,0.015475168180752497
2022-11-03,,,,,,0.010380118221191104,
2022-10-27,,,0.004057913790797251,,,,
2022-09-22,,0.016557846760370712,,,,,
2022-11-01,,,,,0.012076326589919006,,
2023-02-15,,,,0.005653813769901487,,,
2023-02-09,,,,,,,0.019839818136858145
2023-02-16,0.019839818136858145,,,,,,
2023-02-28,,,,,,0.014438477224348092,
2023-02-23,,,0.006874581027805376,,,,
2022-12-08,,0.017861811196876458,,,,,
2023-01-31,,,,,0.017061164176932445,,
2023-05-03,,,,0.012242175167406487,,,
2023-04-25,,,,,,,0.012242175167406487
2023-05-04,,,,,,0.012242175167406487,
2023-04-27,,,0.012242175167406487,,0.012242175167406487,,
2023-03-02,,0.012242175167406487,,,,,
2023-08-02,0.0142671512439847,,,0.010543333366513252,,,
2023-07-13,,,,,,,0.0023227876517921686
2023-08-03,,,,,,0.0142671512439847,
2023-07-27,,,0.010543333366513252,,0.0142671512439847,,
2023-05-25,,0.009578544646501541,,,,,
2023-11-01,,,,0.009978593327105045,0.010764388367533684,,
2023-10-10,,,,,,,0.013721372000873089
2023-11-02,,,,,,0.009978593327105045,
2023-10-26,,,0.009978593327105045,,,,
2023-09-26,,0.017093801870942116,,,,,
2024-02-14,,,,0.013976936228573322,,,
2024-02-09,,,,,,,0.010258602909743786
2024-02-23,0.02044079639017582,,,,,,
2024-02-28,,,,,,0.013976936228573322,
2024-02-22,,,0.013976936228573322,,,,
2023-12-14,,0.009087840095162392,,,,,
2024-01-30,,,,,0.00036456837551668286,,
2024-05-01,,,,0.013616509735584259,,,
