,CCEP,COST,KDP,KHC,MDLZ,MNST,PEP
2020-04-30,,,,0.007557349062758501,,,
2020-04-28,,,,,0.007504429952686137,,0.00797469622625095
2020-05-07,,,,,,0.008078783625052637,
2020-04-27,,,0.008078783625052637,,,,
2020-03-05,,0.008585291196053725,,,,,
2020-07-30,,,0.011785984208966474,0.01050582919568914,,,
2020-07-13,,,,,,,0.007635023230198591
2020-08-06,0.01050582919568914,,,,,,
2020-08-04,,,,,,0.011785984208966474,
2020-05-28,,0.011418103411222805,,,,,
2020-07-28,,,,,0.0058970259065734155,,
2020-10-29,,,0.005709140721773745,0.004967195913624175,,,
2020-10-01,,,,,,,0.007507550111157072
2020-11-05,,,,,,0.004967195913624175,
2020-09-24,,0.007507550111157072,,,,,
2020-11-02,,,,,0.008404728685221253,,
2021-02-11,0.009648021541977567,,,0.009648021541977567,,,0.009648021541977567
2021-02-25,,,0.012403682998801808,,,0.0024701199690182877,
2020-12-10,,0.009648021541977567,,,,,
2021-01-28,,,,,0.0024701199690182877,,
2021-04-29,,,0.0020598881168701734,-0.003021638164854247,,,
2021-04-15,,,,,,,-0.0053598873550332795
2021-05-06,,,,,,0.002358539043778886,
2021-03-04,,-0.004085857115636239,,,,,
2021-04-27,,,,,0.0009073274357126385,,
2021-08-04,,,,2.4816736114870855e-05,,,
2021-07-13,,,,,,,0.0039814350881140475
2021-09-02,0.0039814350881140475,,,,,,
2021-08-05,,,,,,2.4816736114870855e-05,
2021-07-29,,,2.4816736114870855e-05,,,,
2021-05-27,,0.008059469931996294,,,,,
2021-07-27,,,,,0.005712330504054856,,
2021-10-27,,,,0.0028146326731783456,,,
2021-10-05,,,,,,,0.0060351034998729885
2021-11-04,,,,,,0.0028146326731783456,
2021-10-28,,,0.0028146326731783456,,,,
2021-09-23,,0.01228722696218221,,,,,
2021-11-02,,,,,0.012369388036956074,,
2022-02-16,0.008159579234471873,,,0.010377538441304797,,,
2022-02-10,,,,,,,0.008159579234471873
2022-02-24,,,0.009966035810767921,,,0.010377538441304797,
2021-12-09,,0.015384217236658164,,,,,
2022-01-27,,,,,0.012839582698704182,,
2022-04-27,,,,0.01958384878399336,,,
2022-04-26,,,,,0.013089242873720415,,0.008493761217672
2022-05-05,,,,,,0.006714641253776177,
2022-04-28,,,0.006714641253776177,,,,
2022-03-03,,0.011931753692194525,,,,,
2022-07-27,,,,0.019413879184030126,,,
2022-07-12,,,,,,,0.012231920464087841
2022-08-04,0.011969851555081198,,,,,0.00850971262238639,
2022-07-28,,,0.00850971262238639,,,,
2022-05-26,,0.01493801123121965,,,,,
2022-07-26,,,,,0.013764468066730068,,
2022-10-26,,,,0.004057913790797251,,,
