,CCEP,COST,KDP,KHC,MDLZ,MNST,PEP
2018-05-02,,,,0.010671373609013877,,,
2018-04-26,0.01716166445918128,,,,,,-0.005757539721407475
2018-05-08,,,,,,-0.010454654606741847,
2018-03-07,,0.003800130316418307,,,,,
2018-05-01,,,,,0.01738899090243864,,
2018-08-03,,,,0.01450103535481726,,,
2018-07-10,,,,,,,0.01403714929942218
2018-08-09,0.015604408633876542,,,,,,
2018-08-08,,,,,,0.012933776020362896,
2018-05-31,,0.01403714929942218,,,,,
2018-07-25,,,,,0.01450103535481726,,
2018-11-01,,,,0.005734603787978332,,,
2018-10-02,,,,,,,0.003533888504321432
2018-10-25,0.005734603787978332,,,,,,
2018-11-07,,,0.007121576575901907,,,0.004279638115611212,
2018-10-04,,0.003533888504321432,,,,,
2018-10-29,,,,,0.0064803533992681146,,
2019-02-21,,,,0.01052156363976215,,,
2019-02-15,,,,,,,0.01052156363976215
2019-02-14,0.01052156363976215,,,,,,
2019-02-27,,,,,,0.01052156363976215,
2019-02-28,,,0.01052156363976215,,,,
2018-12-13,,0.01052156363976215,,,,,
2019-01-30,,,,,0.01052156363976215,,
2019-08-08,,,0.004464526023569394,0.004464526023569394,,,
2019-04-17,,,,,,,0.005633294279032224
2019-05-02,,,,,,0.005633294279032224,
2019-05-09,,,0.005633294279032224,,,,
2019-03-07,,0.005633294279032224,,,,,
2019-04-30,,,,,0.005633294279032224,,
2019-07-09,,,,,,,0.004464526023569394
2019-08-07,0.004464526023569394,,,,,0.004464526023569394,
2019-05-30,,0.004464526023569394,,,,,
2019-07-30,,,,,0.004464526023569394,,
2019-10-31,,,,0.0068109628795232115,,,
2019-10-03,,0.0068109628795232115,,,,,0.0068109628795232115
2019-11-07,,,0.0068109628795232115,,,0.0068109628795232115,
2019-10-29,,,,,0.0068109628795232115,,
2020-02-13,0.00963693854214393,,,-0.005808082496479388,,,-0.008188786145560041
2020-02-27,,,-0.004710994865314772,,,-0.014498188867580213,
2019-12-12,,0.006852290794961806,,,,,
2020-01-29,,,,,-0.019086740388394068,,
2020-04-30,,,,0.004622081982035859,,,
2020-04-28,,,,,0.004622081982035859,,0.004622081982035859
2020-05-07,,,,,,0.004622081982035859,
2020-04-27,,,0.004622081982035859,,,,
2020-03-05,,0.004622081982035859,,,,,
2020-07-30,,,0.007931354154001058,0.008309219054113413,,,
2020-07-13,,,,,,,0.007931354154001058
2020-08-06,0.007931354154001058,,,,,,
2020-08-04,,,,,,0.007931354154001058,
2020-05-28,,0.007931354154001058,,,,,
