,AMGN,AZN,BIIB,DXCM,GEHC,GILD,IDXX,ISRG,REGN,VRTX
2020-04-30,0.018361619461942397,,,,,0.018361619461942397,0.018361619461942397,,,
2020-05-05,,,,,,,,,0.018361619461942397,
2020-04-29,,0.018361619461942397,,,,,,,,0.018361619461942397
2020-04-22,,,0.018361619461942397,,,,,,,
2020-04-16,,,,,,,,0.018361619461942397,,
2020-04-28,,,,0.018361619461942397,,,,,,
2020-07-28,0.019094113486926835,,,0.01340220591886716,,,,,,
2020-08-05,,,,,,,,,0.011791766021389457,
2020-07-31,,,,,,,0.011791766021389457,,,
2020-07-30,,0.019094113486926835,,,,0.01340220591886716,,,,0.011791766021389457
2020-07-22,,,0.011791766021389457,,,,,,,
2020-07-21,,,,,,,,0.01670599318544281,,
2020-10-28,0.013750659301877022,,,,,0.01688617654144764,,,,
2020-11-05,,0.012555747292935848,,,,,,,0.012706792913377285,
2020-10-29,,,,,,,0.007905376143753529,,,0.016638867557048798
2020-10-21,,,0.009276331402361393,,,,,,,
2020-10-15,,,,,,,,0.019140075892210007,,
2020-10-27,,,,0.01282282080501318,,,,,,
2021-02-02,0.02442617528140545,,,,,,0.030823642387986183,,,
2021-02-05,,,,,,,,,0.029215484857559204,
2021-02-01,,,,,,,,,,0.03181800991296768
2021-02-03,,,0.026674257591366768,,,,,,,
2021-02-04,,,,,,0.049611397087574005,,,,
2021-02-11,,0.023447247222065926,,0.037040553987026215,,,,,,
2021-01-21,,,,,,,,0.012679261155426502,,
2021-04-27,-0.008756712711435266,,,,,,,,,
2021-05-06,,,,,,,,,-0.01712248571737205,
2021-05-04,,,,,,,-0.04197243511427334,,,
2021-04-29,,,,0.021727280839312,,0.034921219364828844,,,,-0.0028467461497980965
2021-04-22,,,0.02881315547027148,,,,,,,
2021-04-30,,0.008371043480754126,,,,,,,,
2021-04-20,,,,,,,,0.03306171545197806,,
2021-08-03,0.019020402804017067,,,,,,,,,
2021-08-05,,,,,,,,,0.045534323900938034,
2021-07-30,,,,,,,0.028840266168117523,,,
2021-07-29,,0.03491354361176491,,0.03443486616015434,,0.03104049526154995,,,,0.03491354361176491
2021-07-22,,,0.023173993453383446,,,,,,,
2021-07-20,,,,,,,,0.02063700370490551,,
2021-11-02,0.032734356820583344,,,,,,0.004929436836391687,,,0.04173605516552925
2021-11-04,,,,,,,,,0.04101981222629547,
2021-10-20,,,0.03491218388080597,,,,,,,
2021-10-28,,,,0.037497732788324356,,0.032872844487428665,,,,
2021-11-12,,0.044567398726940155,,,,,,,,
2021-10-19,,,,,,,,0.048356231302022934,,
2022-02-07,0.01642686114055206,,,,,,,,,
2022-02-04,,,,,,,,,-0.0024828316884245465,
2022-02-02,,,,,,,0.02518925189828959,,,
2022-01-26,,,,,,,,,,0.023382408675837196
2022-02-03,,,0.02296004036462413,,,,,,,
2022-02-01,,,,,,0.021693245608051987,,,,
2022-02-10,,0.029466869871626437,,0.03587443644240106,,,,,,
2022-01-20,,,,,,,,0.03837577198451519,,
2022-04-27,0.03005100227892399,,,,,,,,,
2022-05-04,,,,,,,0.024681413546204567,,0.030020831152796745,
2022-05-05,,,,,,,,,,0.028805013746023178
2022-05-03,,,0.02435121312737465,,,,,,,
2022-04-28,,,,0.025362038984894753,,0.01319614052772522,,,,
2022-04-29,,0.04998839274048805,,,,,,,,
2022-04-21,,,,,,,,0.028805013746023178,,
2022-08-04,0.052066151052713394,,,,,,,,,-0.0077452450059354305
2022-08-03,,,,,,,,,0.04302772879600525,
2022-08-02,,,,,,0.025852298364043236,0.04811279475688934,,,
2022-07-20,,,0.03900071978569031,,,,,,,
2022-07-29,,0.08137940615415573,,,,,,,,
2022-07-21,,,,,,,,0.053522989153862,,
2022-07-28,,,,0.09342097491025925,,,,,,
2022-11-03,0.020726633132809133,,,,,,,,0.02255173131590108,
2022-11-01,,,,,,,0.03503328361100842,,,
2022-10-27,,,,0.020726633132809133,,0.029637089307667598,,,,0.02255173131590108
2022-10-25,,,0.029637089307667598,,,,,,,
2022-11-10,,0.029637089307667598,,,,,,,,
2022-10-18,,,,,,,,0.03093842847481818,,
2023-01-31,0.025740228593349457,,,,,,,,,
2023-02-03,,,,,,,,,0.03080775961279869,
2023-02-06,,,,,,,0.03439986705780029,,,
2023-02-07,,,,,,,,,,0.028350485488772392
2023-02-15,,,0.03439986705780029,,,,,,,
2023-02-02,,,,,,0.029244665056467056,,,,
2023-02-09,,0.025740228593349457,,0.029244665056467056,,,,,,
2023-01-30,,,,,0.029244665056467056,,,,,
2023-01-24,,,,,,,,0.03439986705780029,,
2023-04-27,0.018649606836179954,0.02716073568900776,,0.0335547080651241,,0.026392237052059297,,,,
2023-05-04,,,,,,,,,0.01563640812010803,
2023-05-02,,,,,,,0.02000485235984552,,,
2023-05-01,,,,,,,,,,0.012399929464278316
2023-04-25,,,0.01518605399136376,,0.03010933672358198,,,,,
2023-04-18,,,,,,,,0.03970254027861775,,
2023-08-03,0.016379315348268066,,,,,0.01746097262258223,,,0.012144454371243818,
2023-08-01,,,,,,,0.006229573981523278,,,0.008618480578575146
2023-07-25,,,0.01747381854668904,,0.022476192224320936,,,,,
2023-07-28,,0.021538519255498254,,,,,,,,
2023-07-20,,,,,,,,0.012481005281691342,,
2023-07-27,,,,0.0204458640074351,,,,,,
2023-10-31,0.003838403303095586,,,,0.02857481757092891,,,,,
2023-11-02,,,,,,,,,0.030720247176286252,
