,AMGN,AZN,BIIB,DXCM,GEHC,GILD,IDXX,ISRG,REGN,VRTX
2020-04-30,0.01729233695048115,,,,,0.01589972739053169,0.015390345653864813,,,
2020-05-05,,,,,,,,,0.020781317402467147,
2020-04-29,,0.02068358820738225,,,,,,,,0.02405056425957459
2020-04-22,,,0.011712336933654286,,,,,,,
2020-04-16,,,,,,,,0.02450915715981342,,
2020-04-28,,,,0.011290556813599372,,,,,,
2020-07-28,0.019094113486926835,,,0.01340220591886716,,,,,,
2020-08-05,,,,,,,,,0.011791766021389457,
2020-07-31,,,,,,,0.011791766021389457,,,
2020-07-30,,0.019094113486926835,,,,0.01340220591886716,,,,0.011791766021389457
2020-07-22,,,0.011791766021389457,,,,,,,
2020-07-21,,,,,,,,0.01670599318544281,,
2020-10-28,0.01754181903930017,,,,,0.01754181903930017,,,,
2020-11-05,,0.01754181903930017,,,,,,,0.008831495961956225,
2020-10-29,,,,,,,0.008831495961956225,,,0.016823855964961276
2020-10-21,,,0.011031262581413416,,,,,,,
2020-10-15,,,,,,,,0.015769644612416905,,
2020-10-27,,,,0.011031262581413416,,,,,,
2021-02-02,0.022382810884966124,,,,,,0.016487206340844544,,,
2021-02-05,,,,,,,,,0.016487206340844544,
2021-02-01,,,,,,,,,,0.03839440238941866
2021-02-03,,,0.017613774129914418,,,,,,,
2021-02-04,,,,,,0.022382810884966124,,,,
2021-02-11,,0.022382810884966124,,0.017613774129914418,,,,,,
2021-01-21,,,,,,,,0.02281020828577599,,
2021-04-27,0.01909133548113178,,,,,,,,,
2021-05-06,,,,,,,,,0.01725331571276453,
2021-05-04,,,,,,,0.01725331571276453,,,
2021-04-29,,,,0.017758495838214292,,0.027467339977330554,,,,0.037061907165337145
2021-04-22,,,0.017758495838214292,,,,,,,
2021-04-30,,0.01909133548113178,,,,,,,,
2021-04-20,,,,,,,,0.021297201074433458,,
2021-08-03,0.03168476278036978,,,,,,,,,
2021-08-05,,,,,,,,,0.024242650664987275,
2021-07-30,,,,,,,0.024242650664987275,,,
2021-07-29,,0.03168476278036978,,0.02426814650866722,,0.03168476278036978,,,,0.04426858512339921
2021-07-22,,,0.024242650664987275,,,,,,,
2021-07-20,,,,,,,,0.024242650664987275,,
2021-11-02,0.03346629054194875,,,,,,0.02381865676379566,,,0.040529146157367975
2021-11-04,,,,,,,,,0.0254767596784024,
2021-10-20,,,0.04403102165978493,,,,,,,
2021-10-28,,,,0.029415707969165927,,0.024796981119603097,,,,
2021-11-12,,0.027174825774455524,,,,,,,,
2021-10-19,,,,,,,,0.02573484137100871,,
2022-02-07,0.02555106409933358,,,,,,,,,
2022-02-04,,,,,,,,,0.017351677696419047,
2022-02-02,,,,,,,0.02272156051736102,,,
2022-01-26,,,,,,,,,,0.03143413204939416
2022-02-03,,,0.03813583303701676,,,,,,,
2022-02-01,,,,,,0.02410861859518966,,,,
2022-02-10,,0.02773636496015177,,0.027632685681584057,,,,,,
2022-01-20,,,,,,,,0.025519473424622095,,
2022-04-27,0.03143235943150729,,,,,,,,,
2022-05-04,,,,,,,0.018590609908300387,,0.020835342334146807,
2022-05-05,,,,,,,,,,0.020835342334146807
2022-05-03,,,0.03531947633794888,,,,,,,
2022-04-28,,,,0.021767374955239872,,0.02500891678325005,,,,
2022-04-29,,0.021070254880442,,,,,,,,
2022-04-21,,,,,,,,0.021437758815429798,,
2022-08-04,0.03750009526694642,,,,,,,,,0.02045172052918014
2022-08-03,,,,,,,,,0.02417969262270296,
2022-08-02,,,,,,0.02805005305629194,0.03919379006565202,,,
2022-07-20,,,0.0353615287657177,,,,,,,
2022-07-29,,0.03433761007482644,,,,,,,,
2022-07-21,,,,,,,,0.035310386787246933,,
2022-07-28,,,,0.0281372113642326,,,,,,
2022-11-03,0.020726633132809133,,,,,,,,0.02255173131590108,
2022-11-01,,,,,,,0.03503328361100842,,,
2022-10-27,,,,0.020726633132809133,,0.029637089307667598,,,,0.02255173131590108
2022-10-25,,,0.029637089307667598,,,,,,,
2022-11-10,,0.029637089307667598,,,,,,,,
2022-10-18,,,,,,,,0.03093842847481818,,
2023-01-31,0.02232196915242521,,,,,,,,,
2023-02-03,,,,,,,,,0.02535506503660248,
2023-02-06,,,,,,,0.032212726873724395,,,
2023-02-07,,,,,,,,,,0.02535506503660248
2023-02-15,,,0.03055161377919334,,,,,,,
2023-02-02,,,,,,0.02390426188079403,,,,
2023-02-09,,0.023865541612272386,,0.023695190977289907,,,,,,
2023-01-30,,,,,0.02750266230117102,,,,,
2023-01-24,,,,,,,,0.026978928725676095,,
2023-04-27,0.02833637708145554,0.023942529014068233,,0.021335917738204802,,0.022641801212462717,,,,
2023-05-04,,,,,,,,,0.026482789279200596,
2023-05-02,,,,,,,0.022698068335405525,,,
2023-05-01,,,,,,,,,,0.02096917622455368
2023-04-25,,,0.028656476053219613,,0.02377666828143583,,,,,
2023-04-18,,,,,,,,0.02290813724361324,,
2023-08-03,0.02135580550077906,,,,,0.01843808498865203,,,0.019392705319443294,
2023-08-01,,,,,,,0.010132554427355542,,,0.010132554427355542
2023-07-25,,,0.02337544507347998,,0.023323302089146496,,,,,
2023-07-28,,0.02189921686857983,,,,,,,,
2023-07-20,,,,,,,,0.010132554427355542,,
2023-07-27,,,,0.016346301495524695,,,,,,
2023-10-31,0.02391224359449327,,,,0.0225209682034099,,,,,
2023-11-02,,,,,,,,,0.02403067703180301,
2023-11-01,,,,,,,0.0115402839296307,,,
2023-11-06,,,,,,,,,,0.0115402839296307
2023-11-08,,,0.026015563498209333,,,,,,,
2023-11-07,,,,,,0.017670152591345703,,,,
2023-11-09,,0.015075035226643205,,,,,,,,
2023-10-19,,,,,,,,0.0115402839296307,,
2023-10-26,,,,0.018543186840334944,,,,,,
2024-02-06,0.020048473088379235,,,,0.026614578481656125,0.02674089591794728,,,,
2024-02-02,,,,,,,,,0.028496618333160466,
2024-02-05,,,,,,,0.014246119818175846,,,0.020048473088379235
2024-02-13,,,0.028496618333160466,,,,,,,
2024-02-08,,0.02471906561000936,,0.02801021607561337,,,,,,
2024-01-23,,,,,,,,0.02788424875954746,,
2024-05-02,0.022632447434922154,,,,,,,,0.024418040665892118,
2024-05-01,,,,,,,0.023817778682805754,,,
2024-05-06,,,,,,,,,,0.02816101187806079
2024-04-24,,,0.03281276009622865,,,,,,,
2024-04-25,,0.024268060743767576,,0.03156984433991008,,0.022609193307664407,,,,
2024-04-30,,,,,0.026169131745711734,,,,,
2024-04-18,,,,,,,,0.020538333532624367,,
2024-08-06,0.023317495424429024,,,,,,0.02673159717465331,,,
2024-08-01,,,0.03373683782587228,,,,,,0.02162691418611243,0.02673159717465331
2024-08-08,,,,,,0.022353127316753502,,,,
2024-07-25,,0.026569976586300635,,0.03570999656599153,,,,,,
2024-07-31,,,,,0.028371478169495142,,,,,
2024-07-18,,,,,,,,0.020045779560083278,,
2024-10-30,0.01784090065909942,,0.030748109312002,,0.019625887357235482,,,,,
2024-10-31,,,,,,,0.029665639702392617,,0.02158380359881855,
2024-11-04,,,,,,,,,,0.026342371549946536
2024-11-06,,,,,,0.019625887357235482,,,,
2024-11-12,,0.019845887593117357,,,,,,,,
2024-10-17,,,,,,,,0.01185900784322703,,
2024-10-24,,,,0.023493505857929715,,,,,,
2025-02-04,0.023205168862095105,,,,,,,,0.029086232644260777,
2025-02-03,,,,,,,0.03068919680960666,,,
2025-02-10,,,,,,,,,,0.025789167467814397
2025-02-12,,,0.03736457565200342,,,,,,,
2025-02-11,,,,,,0.02804335309526959,,,,
2025-02-06,,0.02416321008058793,,,,,,,,
2025-02-13,,,,0.02498960474228101,0.026895084739039548,,,,,
2025-01-23,,,,,,,,0.021549857427071165,,
2025-05-01,0.026847884357133665,,0.02932067457049927,0.028420254730934437,,,0.027874717922130678,,,
2025-04-29,,0.027025411459842087,,,,,,,0.029468439233187274,
2025-05-05,,,,,,,,,,0.030634314745533086
2025-04-24,,,,,,0.018501040590981493,,,,
2025-04-30,,,,,0.024727127401381555,,,,,
2025-04-22,,,,,,,,0.021592575090106626,,
2025-08-05,0.02617930368434167,,,,,,,,,
2025-08-01,,,,,,,,,0.028277801941896875,
2025-08-04,,,,,,,0.023532546487329054,,,0.030256808293149355
2025-07-31,,,0.03539867725701827,,,,,,,
2025-08-07,,,,,,0.023293331365797355,,,,
2025-07-29,,0.026808448451798993,,,,,,,,
2025-07-30,,,,0.02771424703551183,0.030782792818767293,,,,,
2025-07-22,,,,,,,,0.022198526537013236,,
2025-11-04,0.02827426432379162,,,,,,,,,
2025-10-28,,,,,,,,,0.028644487651503476,
2025-11-03,,,,,,,0.023661828809288517,,,0.019214163287563868
2025-10-30,,,0.02787676078386682,0.027598427385797545,,0.020073214515627772,,,,
2025-11-06,,0.020239566331979857,,,,,,,,
2025-10-29,,,,,0.027184032606327038,,,,,
2025-10-21,,,,,,,,0.02271976357766308,,
2026-02-03,0.017356744661615235,,,,,,,,,
2026-01-30,,,,,,,,,0.014675279803887865,
2026-02-02,,,,,,,0.014751847051824047,,,
2026-02-12,,,,0.024501759687871827,,,,,,0.01048720476652364
2026-02-06,,,0.023367853436613132,,,,,,,
2026-02-10,,,,,,0.01838466816182705,,,,
2026-02-04,,,,,0.01975203802863067,,,,,
2026-01-22,,,,,,,,0.014675279803887865,,
