,AMGN,AZN,BIIB,DXCM,GEHC,GILD,IDXX,ISRG,REGN,VRTX
2020-04-30,0.018361619461942397,,,,,0.018361619461942397,0.018361619461942397,,,
2020-05-05,,,,,,,,,0.018361619461942397,
2020-04-29,,0.018361619461942397,,,,,,,,0.018361619461942397
2020-04-22,,,0.018361619461942397,,,,,,,
2020-04-16,,,,,,,,0.018361619461942397,,
2020-04-28,,,,0.018361619461942397,,,,,,
2020-07-28,0.017874393013977807,,,0.017874393013977807,,,,,,
2020-08-05,,,,,,,,,0.017874393013977807,
2020-07-31,,,,,,,0.017874393013977807,,,
2020-07-30,,0.017874393013977807,,,,0.017874393013977807,,,,0.017874393013977807
2020-07-22,,,0.017874393013977807,,,,,,,
2020-07-21,,,,,,,,0.017874393013977807,,
2020-10-28,0.015497500498017522,,,,,0.015497500498017522,,,,
2020-11-05,,0.015497500498017522,,,,,,,0.015497500498017522,
2020-10-29,,,,,,,0.015497500498017522,,,0.015497500498017522
2020-10-21,,,0.015497500498017522,,,,,,,
2020-10-15,,,,,,,,0.015497500498017522,,
2020-10-27,,,,0.015497500498017522,,,,,,
2021-02-02,0.024102093431466763,,,,,,0.024102093431466763,,,
2021-02-05,,,,,,,,,0.024102093431466763,
2021-02-01,,,,,,,,,,0.024102093431466763
2021-02-03,,,0.024102093431466763,,,,,,,
2021-02-04,,,,,,0.024102093431466763,,,,
2021-02-11,,0.024102093431466763,,0.024102093431466763,,,,,,
2021-01-21,,,,,,,,0.024102093431466763,,
2021-04-27,-0.008756712711435266,,,,,,,,,
2021-05-06,,,,,,,,,-0.01712248571737205,
2021-05-04,,,,,,,-0.04197243511427334,,,
2021-04-29,,,,0.021727280839312,,0.034921219364828844,,,,-0.0028467461497980965
2021-04-22,,,0.02881315547027148,,,,,,,
2021-04-30,,0.008371043480754126,,,,,,,,
2021-04-20,,,,,,,,0.03306171545197806,,
2021-08-03,0.031051151906758726,,,,,,,,,
2021-08-05,,,,,,,,,0.031051151906758726,
2021-07-30,,,,,,,0.031051151906758726,,,
2021-07-29,,0.031051151906758726,,0.031051151906758726,,0.031051151906758726,,,,0.031051151906758726
2021-07-22,,,0.031051151906758726,,,,,,,
2021-07-20,,,,,,,,0.031051151906758726,,
2021-11-02,0.02517577216976673,,,,,,0.0220178790101398,,,0.04703348168570189
2021-11-04,,,,,,,,,0.0030921733546086932,
2021-10-20,,,0.02580168414411913,,,,,,,
2021-10-28,,,,0.04772548389918563,,0.025883155448890777,,,,
2021-11-12,,0.028142384390520275,,,,,,,,
2021-10-19,,,,,,,,0.04264769746768411,,
2022-02-07,0.01642686114055206,,,,,,,,,
2022-02-04,,,,,,,,,-0.0024828316884245465,
2022-02-02,,,,,,,0.02518925189828959,,,
2022-01-26,,,,,,,,,,0.023382408675837196
2022-02-03,,,0.02296004036462413,,,,,,,
2022-02-01,,,,,,0.021693245608051987,,,,
2022-02-10,,0.029466869871626437,,0.03587443644240106,,,,,,
2022-01-20,,,,,,,,0.03837577198451519,,
2022-04-27,0.026495664445937758,,,,,,,,,
2022-05-04,,,,,,,0.016377031614292853,,0.0003291962844116213,
2022-05-05,,,,,,,,,,0.027785311996778854
2022-05-03,,,0.028268300133286337,,,,,,,
2022-04-28,,,,0.03636521010254605,,0.03330442301012384,,,,
2022-04-29,,0.035002001987051196,,,,,,,,
2022-04-21,,,,,,,,0.03501944979246061,,
2022-08-04,0.022862219063182452,,,,,,,,,0.014578905141312912
2022-08-03,,,,,,,,,0.009922514539978578,
2022-08-02,,,,,,0.03318507724038754,0.03864699293388795,,,
2022-07-20,,,0.020143838741134665,,,,,,,
2022-07-29,,0.03938750435280487,,,,,,,,
2022-07-21,,,,,,,,0.03782828999956924,,
2022-07-28,,,,0.04480931388931051,,,,,,
2022-11-03,0.016173598778502104,,,,,,,,0.013932693412273253,
2022-11-01,,,,,,,0.02936218955688665,,,
2022-10-27,,,,0.04730558721903704,,0.0326128287735099,,,,0.016506115033036638
2022-10-25,,,0.013435828676684155,,,,,,,
2022-11-10,,0.03291304235804738,,,,,,,,
2022-10-18,,,,,,,,0.04110166531600656,,
2023-01-31,0.010400003322403902,,,,,,,,,
2023-02-03,,,,,,,,,0.02156757496405111,
2023-02-06,,,,,,,0.02422935093542719,,,
2023-02-07,,,,,,,,,,0.025663818404333766
2023-02-15,,,0.014696557576794722,,,,,,,
2023-02-02,,,,,,0.02483585386680452,,,,
2023-02-09,,0.029157283534589754,,0.033255713264364516,,,,,,
2023-01-30,,,,,0.032856006690895,,,,,
2023-01-24,,,,,,,,0.03989544555344205,,
2023-04-27,0.018649606836179954,0.02716073568900776,,0.0335547080651241,,0.026392237052059297,,,,
2023-05-04,,,,,,,,,0.01563640812010803,
2023-05-02,,,,,,,0.02000485235984552,,,
2023-05-01,,,,,,,,,,0.012399929464278316
2023-04-25,,,0.01518605399136376,,0.03010933672358198,,,,,
2023-04-18,,,,,,,,0.03970254027861775,,
2023-08-03,0.016379315348268066,,,,,0.01746097262258223,,,0.012144454371243818,
2023-08-01,,,,,,,0.006229573981523278,,,0.008618480578575146
2023-07-25,,,0.01747381854668904,,0.022476192224320936,,,,,
2023-07-28,,0.021538519255498254,,,,,,,,
2023-07-20,,,,,,,,0.012481005281691342,,
2023-07-27,,,,0.0204458640074351,,,,,,
2023-10-31,0.003838403303095586,,,,0.02857481757092891,,,,,
2023-11-02,,,,,,,,,0.030720247176286252,
