,AMGN,AZN,BIIB,DXCM,GEHC,GILD,IDXX,ISRG,REGN,VRTX
2018-04-24,0.006911528762429953,,0.016902169212698936,,,,,,,
2018-05-03,,,,,,,,,-0.0009089371305890381,
2018-05-04,,,,,,,0.007695816457271576,,,
2018-04-26,,,,,,,,,,0.014183703809976578
2018-05-01,,,,,,0.0056789289228618145,,,,
2018-05-18,,-0.00859252642840147,,,,,,,,
2018-04-17,,,,,,,,0.019838698208332062,,
2018-05-02,,,,0.006911528762429953,,,,,,
2018-07-26,0.01927078142762184,-0.0009313636110164225,,,,,,,,
2018-08-02,,,,,,,,,0.01927078142762184,
2018-08-01,,,,0.03159505873918533,,,0.013705075718462467,,,
2018-07-25,,,,,,0.026898188516497612,,,,0.024820609018206596
2018-07-24,,,0.009989634156227112,,,,,,,
2018-07-19,,,,,,,,0.013829227536916733,,
2018-10-30,0.01267510000616312,,,,,,,,,
2018-11-06,,,,0.01267510000616312,,,,,0.01267510000616312,
2018-11-01,,,,,,,0.009618970565497875,,,
2018-10-24,,,,,,,,,,-0.016588062047958374
2018-10-23,,,0.01267510000616312,,,,,,,
2018-10-25,,,,,,0.021733764559030533,,,,
2018-11-08,,0.0029373751021921635,,,,,,,,
2018-10-18,,,,,,,,0.009618970565497875,,
2019-01-29,0.007612932939082384,,0.01313105970621109,,,,,,,
2019-02-06,,,,,,,,,-0.0070342798717319965,
2019-02-01,,,,,,,0.007345598191022873,,,
2019-02-05,,,,,,,,,,-0.0070342798717319965
2019-02-04,,,,,,0.014835506677627563,,,,
2019-02-14,,0.007612932939082384,,,,,,,,
2019-01-24,,,,,,,,0.009449872188270092,,
2019-02-21,,,,0.02249295264482498,,,,,,
2019-04-30,0.012566477991640568,,,,,,,,,0.013024916872382164
2019-05-07,,,,,,,,,0.016410883516073227,
2019-05-01,,,,0.016357073560357094,,,0.013024916872382164,,,
2019-04-24,,,0.006489980034530163,,,,,,,
2019-05-02,,,,,,0.025244740769267082,,,,
2019-04-26,,0.01056793425232172,,,,,,,,
2019-04-18,,,,,,,,0.018566573038697243,,
2019-07-30,0.021519871428608894,,,,,0.020251717418432236,,,,
2019-08-06,,,,,,,,,0.008532305248081684,
2019-08-01,,,,,,,0.013463130220770836,,,
2019-07-31,,,,0.021731870248913765,,,,,,0.021621374413371086
2019-07-23,,,0.021379362791776657,,,,,,,
2019-07-25,,0.013463130220770836,,,,,,,,
2019-07-18,,,,,,,,0.028646375983953476,,
2019-10-29,0.026847045868635178,,,,,,,,,
2019-11-05,,,,,,,,,0.033587876707315445,
2019-10-31,,,,,,,0.02908501774072647,,,
2019-10-30,,,,,,,,,,0.01860547438263893
2019-10-22,,,0.01860547438263893,,,,,,,
2019-10-24,,0.026847045868635178,,,,0.026847045868635178,,,,
2019-10-17,,,,,,,,0.03599163889884949,,
2019-11-06,,,,0.05279743671417236,,,,,,
2020-01-30,0.006948442198336124,,0.006948442198336124,,,,,,,0.01656859926879406
2020-02-06,,,,,,,,,0.006948442198336124,
2020-01-31,,,,,,,0.0014311675913631916,,,
2020-02-04,,,,,,0.01656859926879406,,,,
2020-02-14,,0.006950905080884695,,,,,,,,
2020-01-23,,,,,,,,0.02531612664461136,,
2020-02-13,,,,0.01656859926879406,,,,,,
2020-04-30,0.018176045268774033,,,,,0.02716231532394886,0.02716231532394886,,,
2020-05-05,,,,,,,,,0.0027844030410051346,
2020-04-29,,0.018176045268774033,,,,,,,,0.018176045268774033
2020-04-22,,,0.018176045268774033,,,,,,,
2020-04-16,,,,,,,,0.02716231532394886,,
2020-04-28,,,,0.018176045268774033,,,,,,
2020-07-28,0.017448240891098976,,,0.017448240891098976,,,,,,
2020-08-05,,,,,,,,,0.010320528410375118,
2020-07-31,,,,,,,0.026748808100819588,,,
2020-07-30,,0.017448240891098976,,,,0.026748808100819588,,,,0.017448240891098976
2020-07-22,,,0.008782376535236835,,,,,,,
2020-07-21,,,,,,,,0.007954641245305538,,
2020-10-28,0.013750659301877022,,,,,0.01688617654144764,,,,
2020-11-05,,0.012555747292935848,,,,,,,0.012706792913377285,
2020-10-29,,,,,,,0.007905376143753529,,,0.016638867557048798
2020-10-21,,,0.009276331402361393,,,,,,,
2020-10-15,,,,,,,,0.019140075892210007,,
2020-10-27,,,,0.01282282080501318,,,,,,
2021-02-02,0.02442617528140545,,,,,,0.030823642387986183,,,
2021-02-05,,,,,,,,,0.029215484857559204,
2021-02-01,,,,,,,,,,0.03181800991296768
2021-02-03,,,0.026674257591366768,,,,,,,
