,AAPL,ADBE,ADI,ADSK,AMAT,AMD,APP,ARM,ASML,AVGO,CDNS,CDW,CRWD,CSCO,CTSH,DDOG,FTNT,GFS,INTC,INTU,KLAC,LRCX,MCHP,MRVL,MSFT,MSTR,MU,NVDA,NXPI,ON,PANW,PLTR,QCOM,ROP,SHOP,SNPS,TEAM,TXN,WDAY,ZS
2020-04-28,,,,,,0.033482537382141804,,,,,,,,,,,,,,,,,,,,0.03203654003294326,,,,,,,,0.036008995527192965,,,,,,
2020-02-19,,,0.02808438299623315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02503662412581349,,,,
2020-04-30,0.04363440317199351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04332220566572253,,,
2020-02-12,,,,,0.049147246270476425,,,,,,,,,0.03301463623692294,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,,,,0.048483598791626156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04054602973533501,
2020-04-23,,,,,,,,,,,,,,,,,,,0.04399921894636097,,,,,,,,,,,,,,,,,,,,,
2020-05-05,,,,,,,,,,,,,,,,,,,,,0.03475684118102202,,,,,,,,,,,,,,,,,,,
2020-04-22,,,,,,,,,,,,,,,,,,,,,,0.05181671749718876,,,,,,,,,,,,,,,,,,
2020-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04414757351382995,,,,,,,,,,,,,
2020-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03794775374938881,,
2020-04-29,,,,,,,,,,,,,,,,,,,,,,,,,0.04214907703639,,,,,,,,0.02112859441519533,,,,,,,
2020-03-12,,0.047397979351960995,,,,,,,,0.027365985889663276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,,,,,,,,,,,0.054781805986989784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-06,,,,,,,,,,,,0.051291300318124594,,,,,0.025300384277623635,,,,,,,,,,,,,,,,,,0.033985017776359566,,,,,
2020-02-24,,,,,,,,,,,,,,,,,,,,0.014891692011007925,,,,,,,,,,,0.05428222546133265,,,,,,,,,
2020-05-07,,,,,,,,,,,,,,,0.04723746176948623,,,,,,,,0.043369544506720425,,,,,,,,,,,,,,,,,
2020-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044088780592355645
2020-03-19,,,,,,,,,,,,,0.06698078436110183,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-11,,,,,,,,,,,,,,,,0.035902207207575976,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-15,,,,,,,,,0.019299933974728515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07880355735902565,,,,,,,,,,,,
2020-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10118683463527314,,,,,,,,,,
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,0.031903736408514155,,,,,,,,,,,,,,,,
2020-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0400069577641367,,,,,,,,,,,
2020-07-28,,,,,,0.04716537520289421,,,,,,,,,,,,,,,,,,,,0.05312034860253334,,,,,,,,0.04716537520289421,,,,,,
2020-05-20,,,0.04744449257850647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04716537520289421,,,,
