,CHTR,CMCSA,EA,GOOGL,META,NFLX,TMUS,TTD,TTWO,WBD
2018-04-25,,0.06014738744599742,,,0.06455708043323684,,,,,
2018-05-08,,,0.06455708043323684,,,,,,,0.06740318433247039
2018-05-01,,,,,,,0.06740318433247039,,,
2018-05-10,,,,,,,,0.06014738744599742,,
2018-05-16,,,,,,,,,0.06455708043323684,
2018-04-27,0.06455708043323684,,,,,,,,,
2018-04-16,,,,,,0.06740318433247039,,,,
2018-04-23,,,,0.06455708043323684,,,,,,
2018-07-26,,0.0820637870344356,0.07967094382395817,,,,,,,
2018-08-01,,,,,,,0.0820637870344356,,,
2018-08-09,,,,,,,,0.0881075489359265,,
2018-08-02,,,,,,,,,0.07967094382395817,
2018-07-31,0.07587589962670277,,,,,,,,,
2018-07-16,,,,,,0.07766378358177119,,,,
2018-07-23,,,,0.07967094382395817,,,,,,
2018-08-07,,,,,,,,,,0.0881075489359265
2018-07-25,,,,,0.07967094382395817,,,,,
2018-10-25,,0.08305246693587201,,0.08305246693587201,,,,,,
2018-10-30,,,0.08305246693587201,,0.08305246693587201,,0.08305246693587201,,,
2018-11-08,,,,,,,,0.08305246693587201,,0.08305246693587201
2018-11-07,,,,,,,,,0.08305246693587201,
2018-10-26,0.08305246693587201,,,,,,,,,
2018-10-16,,,,,,0.08305246693587201,,,,
2019-01-23,,0.06948543042120128,,,,,,,,
2019-02-05,,,0.06995749572786644,,,,,,,
2019-02-07,,,,,,,0.06948543042120128,,,
2019-02-21,,,,,,,,0.06960207229170723,,
2019-02-06,,,,,,,,,0.06951015453540939,
2019-01-31,0.06948543042120128,,,,,,,,,
2019-01-17,,,,,,0.0725476945984643,,,,
2019-02-04,,,,0.06995749572786644,,,,,,
2019-02-26,,,,,,,,,,0.06948543042120128
2019-01-30,,,,,0.06995749572786644,,,,,
2019-04-25,,0.06152996373144787,,,,,0.06751951255595266,,,
2019-05-07,,,0.07296683052495916,,,,,,,
2019-05-09,,,,,,,,0.0803775248949771,,
2019-05-13,,,,,,,,,0.07394064462386903,
2019-04-30,0.06751951255595266,,,,,,,,,
2019-04-16,,,,,,0.06152996373144787,,,,
2019-04-29,,,,0.06716482410184198,,,,,,
2019-05-02,,,,,,,,,,0.06152996373144787
2019-04-24,,,,,0.06619101000293211,,,,,
2019-07-25,,0.05865507117828116,,0.06070022291232649,,,0.058759434206619825,,,
2019-07-30,,,0.0668843267649518,,,,,,,
2019-08-08,,,,,,,,0.047796753160526416,,
2019-08-05,,,,,,,,,0.0668843267649518,
2019-07-26,0.058759434206619825,,,,,,,,,
2019-07-17,,,,,,0.0668843267649518,,,,
2019-08-06,,,,,,,,,,0.05865507117828116
2019-07-24,,,,,0.06574987882445192,,,,,
2019-10-24,,0.06077659465084356,,,,,,,,
2019-10-29,,,0.06415840543266899,,,,,,,
2019-10-28,,,,0.06516252931387014,,,0.06077659465084356,,,
2019-11-07,,,,,,,,0.0799946872950526,0.06516252931387014,0.061574862845361594
2019-10-25,0.06077659465084356,,,,,,,,,
2019-10-16,,,,,,0.06077659465084356,,,,
2019-10-30,,,,,0.05483731169923331,,,,,
2020-01-23,,0.03712232584812759,,,,,,,,
2020-01-30,,,0.05127482949477386,,,,,,,
2020-02-06,,,,,,,0.03742693675333016,,0.06835881272336912,
