,CHTR,CMCSA,EA,GOOGL,META,NFLX,TMUS,TTD,TTWO,WBD
2020-04-30,,0.02278581142298229,,,,,,,,
2020-05-05,,,0.08071850924761147,,,,,,,
2020-05-06,,,,,,,0.02521705127210197,,,0.051974895698842255
2020-05-07,,,,,,,,0.026737267087685916,,
2020-05-20,,,,,,,,,0.07088535534713132,
2020-05-01,0.042767574145432065,,,,,,,,,
2020-04-21,,,,,,-0.0022507490484731285,,,,
2020-04-28,,,,0.06050147350207613,,,,,,
2020-04-29,,,,,0.04482037506071697,,,,,
2020-07-30,,0.03774744654423162,0.04445824255262047,0.05390156027659468,0.013226758692488854,,,,,
2020-08-06,,,,,,,0.04334485275367531,-0.001916643664355569,,
2020-08-03,,,,,,,,,0.04967202644702658,
2020-07-31,0.04516762600760039,,,,,,,,,
2020-07-16,,,,,,0.005718484726517533,,,,
2020-08-05,,,,,,,,,,0.0701591509554197
2020-10-29,,0.036532179380275816,,0.06881853622000106,-0.0016268824653574239,,,,,
2020-11-05,,,-0.01165866709475147,,,,0.03293074541782832,-0.003381162866288091,0.050183656847757815,0.06767890489326649
2020-10-30,0.054078454153449716,,,,,,,,,
2020-10-20,,,,,,-0.02680392433979735,,,,
2021-01-28,,0.02327591785332696,,,,,,,,
2021-02-02,,,0.047974767529449756,0.047787465848097295,,,,,,
2021-02-04,,,,,,,0.045150429035815065,,,
2021-02-18,,,,,,,,-0.0020134437079220584,,
2021-02-08,,,,,,,,,0.0577591625505682,
2021-01-29,0.05304161978024947,,,,,,,,,
2021-01-19,,,,,,-0.03732853985861583,,,,
2021-02-22,,,,,,,,,,0.035743474785740054
2021-01-27,,,,,0.044774004489668694,,,,,
2021-04-29,,0.011399915612903806,,,,,,,,
2021-05-11,,,0.0032068325434150453,,,,,,,
2021-05-04,,,,,,,0.026168425913360386,,,
2021-05-10,,,,,,,,-0.0324497764355078,,
2021-05-18,,,,,,,,,0.0410217909833764,
2021-04-30,0.022510925074442988,,,,,,,,,
2021-04-20,,,,,,-0.025773596907894613,,,,
2021-04-27,,,,0.04241008845932566,,,,,,
2021-04-28,,,,,0.009581070964153683,,,,,0.039459838343182514
2021-07-29,,0.02574956658512407,,,,,0.046598712663061786,,,
2021-08-04,,,0.07085671671991584,,,,,,,
2021-08-09,,,,,,,,0.07057758913245313,,
2021-08-02,,,,,,,,,0.019732015657946966,
2021-07-30,0.05984856047015153,,,,,,,,,
2021-07-20,,,,,,-0.01533612846241644,,,,
2021-07-27,,,,0.047854684103843394,,,,,,
2021-08-03,,,,,,,,,,0.0514393065250659
2021-07-28,,,,,0.02781550465105525,,,,,
2021-10-28,,0.007324826803472356,,,,,,,,
2021-11-03,,,0.04443977771563429,,,,,,0.033656277991060024,0.06351453198314204
2021-11-02,,,,,,,0.04874392524521913,,,
2021-11-08,,,,,,,,0.07120154419851224,,
2021-10-29,0.06020544545174786,,,,,,,,,
2021-10-19,,,,,,0.011462632813429813,,,,
2021-10-26,,,,0.044462657939660026,,,,,,
2021-10-25,,,,,0.015082598336167614,,,,,
2022-01-27,,0.0005655118179200991,,,,,,,,
2022-02-01,,,0.04858738166856644,0.06604304062258398,,,,,,
2022-02-02,,,,,0.032923131626555746,,0.04959923837184031,,,
2022-02-16,,,,,,,,0.10126970512839258,,
2022-02-07,,,,,,,,,0.059425036023987916,
2022-01-28,0.035186327254142585,,,,,,,,,
2022-01-20,,,,,,-0.0011892613171630721,,,,
2022-02-24,,,,,,,,,,0.06862034482905016
2022-04-28,,0.03456419245020191,,,,,,,,
2022-05-10,,,0.05320700867069586,,,,,0.10123016693915528,,
2022-04-27,,,,,0.04995888383313181,,0.05179089004736695,,,
2022-05-16,,,,,,,,,0.06714031787934195,
2022-04-29,0.03347666214223581,,,,,,,,,
2022-04-19,,,,,,0.05331733357898763,,,,
2022-04-26,,,,0.06669688485187385,,,,,,0.07572276153651364
2022-07-28,,0.04169157555105586,,,,,,,,
2022-08-02,,,0.053167544074998914,,,,,,,
2022-07-27,,,,,0.053652556805164765,,0.0472391522067305,,,
2022-08-09,,,,,,,,0.09714848493653379,,
2022-08-08,,,,,,,,,0.056808773918099756,
2022-07-29,0.037536301454626685,,,,,,,,,
2022-07-19,,,,,,0.09930785116381924,,,,
2022-07-26,,,,0.056483147189277584,,,,,,
2022-08-04,,,,,,,,,,0.1181325686854296
2022-10-27,,0.047661332581583664,,,,,0.041541202147002555,,,
2022-11-01,,,0.04644518154664655,,,,,,,
2022-11-09,,,,,,,,0.05983500279829735,,
2022-11-07,,,,,,,,,0.05518803848095181,
2022-10-28,0.050627691175914494,,,,,,,,,
2022-10-18,,,,,,0.04927364551890083,,,,
2022-10-25,,,,0.0519699131161295,,,,,,
2022-11-03,,,,,,,,,,0.10418464873949226
2022-10-26,,,,,0.0496080666183899,,,,,
2023-01-26,,0.039828110311199566,,,,,,,,
2023-01-31,,,0.04161047964349511,,,,,,,
2023-02-01,,,,,0.041244307474692446,,0.03781976026930856,,,
2023-02-15,,,,,,,,0.0901539676672923,,
2023-02-06,,,,,,,,,0.05522121419443462,
2023-01-27,0.03008669527721369,,,,,,,,,
2023-01-19,,,,,,0.045333859179894596,,,,
2023-02-02,,,,0.04478328645436426,,,,,,
2023-02-23,,,,,,,,,,0.10904529560799647
2023-04-27,,0.03797927402864337,,,,,0.03451513983942198,,,
2023-05-09,,,0.0391247212907767,,,,,,,
2023-05-10,,,,,,,,0.07134465429255078,,
2023-05-17,,,,,,,,,0.05337312650656634,
2023-04-28,0.024412140673834112,,,,,,,,,
2023-04-18,,,,,,0.0342955707058784,,,,
2023-04-25,,,,0.044024026635017165,,,,,,
2023-05-05,,,,,,,,,,0.11324949062774584
2023-04-26,,,,,0.038862558498774645,,,,,
2023-07-27,,0.02270170187030673,,,,,0.02293530512537461,,,
2023-08-01,,,0.026087928866257076,,,,,,,
2023-08-09,,,,,,,,0.05923852659959906,,
2023-08-08,,,,,,,,,0.03462908355127389,
2023-07-28,0.012522780312293081,,,,,,,,,
2023-07-19,,,,,,0.0222675644697108,,,,
2023-07-25,,,,0.02584917950221211,,,,,,
2023-08-03,,,,,,,,,,0.0893282778451334
2023-07-26,,,,,0.02562560186581312,,,,,
2023-10-26,,0.011508639567066811,,,,,,,,
2023-11-01,,,0.010041987715315857,,,,,,,
2023-10-25,,,,,0.012690052526591585,,0.015244432463745478,,,
2023-11-09,,,,,,,,0.05913121313378586,,
2023-11-08,,,,,,,,,0.03287163560285887,0.09944095341615734
2023-10-27,-0.025742535490498732,,,,,,,,,
2023-10-18,,,,,,0.004675110096062171,,,,
2023-10-24,,,,0.018145146398995872,,,,,,
2024-01-25,,0.020639671671936876,,,,,0.017701617704167425,,,
2024-01-30,,,0.01783517316767276,0.018148110928089527,,,,,,
2024-02-15,,,,,,,,0.040486606641700645,,
2024-02-08,,,,,,,,,0.027596576885162812,
2024-02-02,-0.002681830102662824,,,,,,,,,
2024-01-23,,,,,,0.0005396920480889618,,,,
2024-02-23,,,,,,,,,,0.08767892950719527
2024-02-01,,,,,0.014689368017761287,,,,,
2024-04-25,,0.017916595593077306,,0.023309120951661065,,,0.019554956867220367,,,
2024-05-07,,,0.03060769394366393,,,,,,,
2024-05-08,,,,,,,,0.04768421789490143,,
2024-05-16,,,,,,,,,0.025342770881871618,
2024-04-26,-0.0032073411512536865,,,,,,,,,
2024-04-18,,,,,,0.015639167443580165,,,,
2024-05-09,,,,,,,,,,0.09159244424110785
2024-04-24,,,,,-0.0005978161547038668,,,,,
2024-07-23,,0.02463834572066067,,0.017056686158762116,,,,,,
2024-07-30,,,0.03233823499840854,,,,,,,
2024-07-31,,,,,0.005038553270250185,,0.022868599925584134,,,
2024-08-08,,,,,,,,0.054494229410377536,0.032999173437883195,
2024-07-26,-0.0028255239570851793,,,,,,,,,
2024-07-18,,,,,,0.00462532204416631,,,,
2024-08-07,,,,,,,,,,0.08486928994264206
2024-10-31,,0.02450194156386937,,,,,,,,
