,CHTR,CMCSA,EA,GOOGL,META,NFLX,TMUS,TTD,TTWO,WBD
2020-04-30,,0.051312997937202454,,,,,,,,
2020-05-05,,,0.056336548179388046,,,,,,,
2020-05-06,,,,,,,0.05422054976224899,,,0.015795547515153885
2020-05-07,,,,,,,,0.06782014667987823,,
2020-05-20,,,,,,,,,0.0020415375474840403,
2020-05-01,0.040477290749549866,,,,,,,,,
2020-04-21,,,,,,0.06530748307704926,,,,
2020-04-28,,,,0.057058993726968765,,,,,,
2020-04-29,,,,,0.01977280154824257,,,,,
2020-07-30,,0.04564575478434563,0.043339744210243225,0.06721766293048859,0.03118279203772545,,,,,
2020-08-06,,,,,,,0.05733094736933708,0.02709905430674553,,
2020-08-03,,,,,,,,,0.020329931750893593,
2020-07-31,0.04437868669629097,,,,,,,,,
2020-07-16,,,,,,0.05720430612564087,,,,
2020-08-05,,,,,,,,,,0.058754827827215195
2020-10-29,,0.043549928814172745,,0.06336688995361328,0.0361093170940876,,,,,
2020-11-05,,,0.03159673884510994,,,,0.043549928814172745,0.021499766036868095,0.049010105431079865,0.04480836167931557
2020-10-30,0.05329173058271408,,,,,,,,,
2020-10-20,,,,,,0.04536056891083717,,,,
2021-01-28,,0.0415402352809906,,,,,,,,
2021-02-02,,,0.04262761026620865,0.0525662861764431,,,,,,
2021-02-04,,,,,,,0.0415402352809906,,,
2021-02-18,,,,,,,,0.0009766677394509315,,
2021-02-08,,,,,,,,,0.04750405624508858,
2021-01-29,0.07932104915380478,,,,,,,,,
2021-01-19,,,,,,0.0756363570690155,,,,
2021-02-22,,,,,,,,,,0.0378640815615654
2021-01-27,,,,,0.03677113354206085,,,,,
2021-04-29,,0.03435930609703064,,,,,,,,
2021-05-11,,,0.029790109023451805,,,,,,,
2021-05-04,,,,,,,0.04759558290243149,,,
2021-05-10,,,,,,,,0.0161286573857069,,
2021-05-18,,,,,,,,,0.03323754295706749,
2021-04-30,0.11279888451099396,,,,,,,,,
2021-04-20,,,,,,0.047141481190919876,,,,
2021-04-27,,,,0.04366103187203407,,,,,,
2021-04-28,,,,,0.029790109023451805,,,,,0.029010141268372536
2021-07-29,,0.047002505511045456,,,,,0.052109554409980774,,,
2021-08-04,,,0.05145883560180664,,,,,,,
2021-08-09,,,,,,,,0.024327252060174942,,
2021-08-02,,,,,,,,,0.07847942411899567,
2021-07-30,0.05322389677166939,,,,,,,,,
2021-07-20,,,,,,0.08689431846141815,,,,
