,AEP,CEG,EXC,XEL
2020-05-06,0.02744115239268611,,,
2020-05-07,,,,0.013022301242972394
2020-05-08,,,0.03208295326598488,
2020-08-06,0.042214346487651905,,,
2020-07-30,,,,0.022812466001894117
2020-08-04,,,0.0415423520685337,
2020-10-22,0.03812287186271805,,,
2020-10-29,,,,0.04481103891559147
2020-11-03,,,0.03404072758228113,
2021-02-25,0.033555691310254494,,,
2021-01-28,,,,0.03785048256460603
2021-02-24,,,0.01851989245263872,
2021-04-22,0.011024409932426156,,,
2021-04-29,,,,0.011024409932426156
2021-05-05,,,0.013000316985635151,
2021-07-22,0.01245302816677452,,,
2021-07-29,,,,0.01245302816677452
2021-08-04,,,0.01245302816677452,
2021-10-28,0.011177163151261004,,,0.012114289208048547
2021-11-03,,,0.011177163151261004,
2022-02-24,0.014298109031568251,,,
2022-01-27,,,,0.014298109031568251
2022-02-25,,,0.014298109031568251,
2022-04-28,0.015679165026872617,,,0.016142214823520407
2022-05-09,,,0.016142214823520407,
2022-05-12,,0.016142214823520407,,
2022-07-27,0.014399679471116906,,,
2022-07-28,,,,0.014399679471116906
2022-08-03,,,0.015018796557378644,
2022-08-04,,0.013776471060242455,,
2022-10-27,0.012873124283409943,,,0.012873124283409943
2022-11-03,,,0.012873124283409943,
2022-11-08,,0.012873124283409943,,
2023-02-23,0.017535095572907708,,,
2023-01-26,,,,0.017535095572907708
2023-02-14,,,0.017535095572907708,
2023-02-16,,0.01838389431312523,,
2023-05-04,0.01557886782159537,0.01557886782159537,,
2023-04-27,,,,0.01557886782159537
2023-05-03,,,0.014287716095692706,
2023-07-27,0.012778928582113193,,,0.012778928582113193
2023-08-02,,,0.012778928582113193,
2023-08-03,,0.012778928582113193,,
2023-11-02,0.013809285793407362,,0.013809285793407362,
2023-10-27,,,,0.013809285793407362
2023-11-06,,0.013809285793407362,,
2024-02-26,0.016271903573166168,,,
2024-01-25,,,,0.016271903573166168
2024-02-21,,,0.016271903573166168,
2024-02-27,,0.016271903573166168,,
2024-04-30,0.01378931972391223,,,
2024-04-25,,,,0.01378931972391223
2024-05-02,,,0.01378931972391223,
2024-05-09,,0.01378931972391223,,
2024-07-30,0.011804312788865377,,,
2024-08-01,,,0.01275070190725596,0.011804312788865377
2024-08-06,,0.01275070190725596,,
2024-11-06,0.011088486224246255,,,
2024-10-31,,,,0.011088486224246255
2024-10-30,,,0.011088486224246255,
2024-11-04,,0.011088486224246255,,
2025-02-13,-0.0021661644084608983,,,
2025-02-06,,,,0.008014491441715808
2025-02-12,,,0.007664644331310132,
2025-02-18,,0.0037654019668414205,,
2025-05-06,0.0014292076414991117,0.00455576153172649,,
2025-04-24,,,,0.003373634522917705
2025-05-01,,,0.01217030348154027,
2025-07-30,0.002949745102426821,,,
2025-07-31,,,-0.004579176160348479,-0.01384560259581137
2025-08-07,,0.026067089291007758,,
2025-10-29,0.006969788253032292,,,
2025-10-30,,,,0.020144006933034194
2025-11-04,,,0.017091595690910455,
2025-11-07,,0.02889780323160822,,
2026-02-12,-0.001430901747636365,,0.014615295639567398,
2026-02-05,,,,0.00018753110790515587
