,AEP,CEG,EXC,XEL
2018-04-26,0.002758353017270565,,,0.008661067113280296
2018-05-02,,,0.030046232044696808,
2018-07-25,0.0029763050843030214,,,
2018-07-26,,,,0.008676066994667053
2018-08-02,,,0.018733011558651924,
2018-10-25,0.0036080849822610617,,,0.02983858250081539
2018-11-01,,,0.02402070350944996,
2019-01-24,0.025778518989682198,,,
2019-01-31,,,,0.022191260010004044
2019-02-08,,,0.015076885931193829,
2019-04-25,0.017049813643097878,,,0.017049813643097878
2019-05-02,,,0.020813575014472008,
2019-07-25,0.011219887994229794,,,
2019-08-01,,,0.02113698050379753,0.011219887994229794
2019-10-24,0.013608417473733425,,,0.013608417473733425
2019-10-31,,,0.017499249428510666,
2020-02-20,0.009866414591670036,,,
2020-01-30,,,,0.01643282361328602
2020-02-11,,,0.019790975376963615,
2020-05-06,0.026427922770380974,,,
2020-05-07,,,,0.007596543058753014
2020-05-08,,,0.028857458382844925,
2020-08-06,0.02406080812215805,,,
2020-07-30,,,,0.02406080812215805
2020-08-04,,,0.033103711903095245,
2020-10-22,0.024135353043675423,,,
2020-10-29,,,,0.023520464077591896
2020-11-03,,,0.027619417756795883,
2021-02-25,0.010603458620607853,,,
2021-01-28,,,,0.02821570448577404
2021-02-24,,,0.01607508212327957,
2021-04-22,0.014284023083746433,,,
2021-04-29,,,,0.012212216854095459
2021-05-05,,,0.012105236761271954,
2021-07-22,0.02263510972261429,,,
2021-07-29,,,,0.017011918127536774
2021-08-04,,,0.013683614321053028,
2021-10-28,0.0234458576887846,,,0.01624280959367752
2021-11-03,,,0.014562979340553284,
2022-02-24,0.01634589210152626,,,
2022-01-27,,,,0.01634589210152626
2022-02-25,,,0.022475725039839745,
2022-04-28,0.016664866358041763,,,0.01619204692542553
2022-05-09,,,0.019846610724925995,
2022-05-12,,0.01651913858950138,,
2022-07-27,0.016410503536462784,,,
2022-07-28,,,,0.01500737015157938
2022-08-03,,,0.015312716364860535,
2022-08-04,,0.011980775743722916,,
2022-10-27,0.015055990777909756,,,0.014328484423458576
2022-11-03,,,0.01424726378172636,
2022-11-08,,0.011553387157619,,
2023-02-23,0.01771131157875061,,,
2023-01-26,,,,0.01771131157875061
2023-02-14,,,0.02686719223856926,
2023-02-16,,0.017220908775925636,,
2023-05-04,0.01678594946861267,0.017318611964583397,,
2023-04-27,,,,0.01678594946861267
2023-05-03,,,0.02175162546336651,
2023-07-27,0.014987705275416374,,,0.014987705275416374
2023-08-02,,,0.014987705275416374,
2023-08-03,,0.011868336237967014,,
2023-11-02,0.01169421337544918,,0.01169421337544918,
2023-10-27,,,,0.013435151427984238
2023-11-06,,0.015496393665671349,,
2024-02-26,0.016609812155365944,,,
2024-01-25,,,,0.016609812155365944
2024-02-21,,,0.015962418168783188,
2024-02-27,,0.03366779163479805,,
2024-04-30,0.01412468496710062,,,
2024-04-25,,,,0.01412468496710062
2024-05-02,,,0.01412468496710062,
2024-05-09,,0.0005657459259964526,,
2024-07-30,0.02065109647810459,,,
2024-08-01,,,-0.00021738481882493943,0.02065109647810459
2024-08-06,,-0.00021738481882493943,,
2024-11-06,0.010961644351482391,,,
2024-10-31,,,,0.011120063252747059
2024-10-30,,,0.010086383670568466,
2024-11-04,,-0.0014860016526654363,,
2025-02-13,0.011973664164543152,,,
2025-02-06,,,,0.012807493098080158
2025-02-12,,,0.017561836168169975,
2025-02-18,,-0.00041647435864433646,,
2025-05-06,0.014132331125438213,0.002574647543951869,,
2025-04-24,,,,0.014998056925833225
2025-05-01,,,0.015042114071547985,
2025-07-30,0.010297445580363274,,,
2025-07-31,,,0.014509222470223904,0.010297445580363274
2025-08-07,,0.0019399289740249515,,
2025-10-29,0.031095657497644424,,,
2025-10-30,,,,0.020682131871581078
2025-11-04,,,0.01928095519542694,
2025-11-07,,0.014039154164493084,,
2026-02-12,0.015546487644314766,,0.010824553668498993,
2026-02-05,,,,0.030496740713715553
